split,model,target,n,mae,rmse,bias,r2
train,uncalibrated,fx_b,308702,5.202631307759076,6.642448714715285,1.2587337710609294,-0.9259220359277698
train,uncalibrated,fy_b,308702,4.758723794165583,5.967709001059597,0.22718971357145434,-18.19486570933159
train,uncalibrated,fz_b,308702,14.245369800836196,17.935099828917842,-8.02205347800444,-2.8857531181025755
train,uncalibrated,mx_b,308702,0.09916845754854875,0.139509044198998,-0.0026331476032644624,-1906.1704118734135
train,uncalibrated,my_b,308702,1.1400902723863058,1.2608689567093434,-1.133799715379675,-85005.20508758814
train,uncalibrated,mz_b,308702,0.17303370857706124,0.21366483933597952,-0.023371191436381618,-201064.07284210375
train,physically_calibrated,fx_b,308702,3.830003812769011,5.392871135429836,-1.5664269822780161,-0.2694697830781765
train,physically_calibrated,fy_b,308702,2.7300494162086224,3.4524413128882707,0.22835484375939852,-5.424249689146522
train,physically_calibrated,fz_b,308702,10.294567756314894,12.905330023565003,-1.284785106651062,-1.0118974382103363
train,physically_calibrated,mx_b,308702,0.04674598143027881,0.06565423411260207,-0.001200137856332612,-421.38671742515834
train,physically_calibrated,my_b,308702,0.5324718808732449,0.5905514656388331,-0.5290347691371622,-18646.740944035108
train,physically_calibrated,mz_b,308702,0.08336355798819776,0.10304150700782595,-0.013306662381961563,-46761.19814752021
val,uncalibrated,fx_b,79587,5.171460765112948,6.603891209001569,1.1979260763851363,-0.8831397996037629
val,uncalibrated,fy_b,79587,4.68119775777485,5.872995256374108,0.10959560772253006,-18.533358891585916
val,uncalibrated,fz_b,79587,14.177519233772667,17.83742049543758,-7.669054514406576,-2.669360606273685
val,uncalibrated,mx_b,79587,0.09715269818485854,0.1376539055061597,-0.001842283660142633,-2151.528032542297
val,uncalibrated,my_b,79587,1.1377470778173586,1.259990073950076,-1.1288269224888632,-93953.07609954204
val,uncalibrated,mz_b,79587,0.16531979378643563,0.2042249491120426,-0.019002873708883726,-207735.45682309978
val,physically_calibrated,fx_b,79587,3.838052332782032,5.418110598540276,-1.6177287946389414,-0.2675890346781753
val,physically_calibrated,fy_b,79587,2.6821248376104307,3.391032383593615,0.0543850901898122,-5.512106640763502
val,physically_calibrated,fz_b,79587,10.370738563621066,12.990466089986068,-1.045004773356783,-0.9461475348911703
val,physically_calibrated,mx_b,79587,0.045756875738146865,0.0647459603486708,-0.0008287664532754305,-475.20844689819825
val,physically_calibrated,my_b,79587,0.5315015508906197,0.5901174506375508,-0.5269557252231015,-20608.065225614235
val,physically_calibrated,mz_b,79587,0.07978752687801234,0.09854376013543092,-0.011261408450537183,-48366.471698596186
test,uncalibrated,fx_b,60671,5.2084770919835774,6.640179393399808,1.2204547080563033,-0.888108058719387
test,uncalibrated,fy_b,60671,4.8868491601749,6.1110231189002535,0.246740131190586,-16.87313566610745
test,uncalibrated,fz_b,60671,14.636846797019182,18.429897413256807,-8.284369781052034,-2.916277442115153
test,uncalibrated,mx_b,60671,0.10945754748629613,0.15177690560057727,-0.029982536044146874,-2086.0596633720093
test,uncalibrated,my_b,60671,1.1549716630823632,1.2850991731382884,-1.1466707580982922,-88247.32937000736
test,uncalibrated,mz_b,60671,0.17159453784464695,0.21093381919773754,-0.021957597849953017,-169826.18631189442
test,physically_calibrated,fx_b,60671,3.8521959755889967,5.420305721616998,-1.5529282573308676,-0.25809891039120325
test,physically_calibrated,fy_b,60671,2.795979770437095,3.523582928914713,0.2080608657515608,-4.942126497490529
test,physically_calibrated,fz_b,60671,10.45188750955593,13.104999774863252,-1.2928339780589264,-0.9801662363684036
test,physically_calibrated,mx_b,60671,0.05160044101559021,0.07141849902106295,-0.01403586579023158,-461.1095173223579
test,physically_calibrated,my_b,60671,0.5387792701003552,0.6017342304394637,-0.5347031912502297,-19347.292283688497
test,physically_calibrated,mz_b,60671,0.08276816034641939,0.10190358997884941,-0.012571924502918696,-39635.3587223057
