step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,13.63720221761313,-0.0,0.0,13.63720221761313,-0.0,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,13.637203216552734,13.637199401855469,13.637202262878418,13.637202262878418,0.040371123701334,0.041300397366285324,6.471194267272949,6.803899765014648,0.0,0.0,0.0,0.0,nan,nan,36.85443115234375,36.85443115234375,73.7088623046875,0.0,-4.96340274810791,1.8848429918289185,0.0,0.0,0.0,1.8848429918289185,0.0,-4.96340274810791,0.0,0.0,0.0,3.100424289703369,0.4293787479400635,-4.288473606109619,0.0,0.0,0.0,0.0,-4.96340274810791,1.8848429918289185,0.0,0.0,0.0,1.8848429918289185,0.0,-4.96340274810791,-0.0,-0.0,-0.0,3.100424289703369,-0.4293776750564575,-4.288473606109619,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,6.200848579406738,1.0728836059570312e-06,-8.576947212219238,0.0,0.0,0.0,-5.21540641784668e-07,-6.39032350591151e-07,-3.427267074584961e-07,39.71158981323242,39.71158981323242,59.39305114746094,59.39305114746094,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,-4.96340274810791,-4.96340274810791,0.0,0.0,1.9955610036849976,1.9955610036849976,-0.045788489282131195,-0.045788489282131195,-0.0649295300245285,-0.0649295300245285,1.8848429918289185,1.8848429918289185,0.5166912078857422,0.5166912078857422,-0.4168408215045929,-0.4168408215045929,-0.1550414115190506,-0.1550414115190506,-78.77237701416016,-78.77237701416016,-52.14453887939453,-52.14453887939453,-37.14453887939453,-37.14453887939453,15.000000953674316,15.000000953674316,1.0,0.04,180.0
1,0.004166666666666667,0.056710041191322745,13.554392334913736,-39.6954453268722,0.056710041191322745,13.554392334913736,-39.6954453268722,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,13.554389953613281,13.554388999938965,13.554391860961914,13.554391860961914,0.09512390941381454,0.09611864387989044,5.836937427520752,6.189584732055664,0.0,0.0,0.0,0.0,nan,nan,34.48264694213867,34.48264694213867,68.96529388427734,0.0,-4.5493855476379395,1.943071722984314,0.0,0.0,0.0,1.943071722984314,0.0,-4.5493855476379395,0.0,0.0,0.0,3.053802967071533,0.13603980839252472,-3.889500856399536,0.0,0.0,0.0,0.0,-4.5493855476379395,1.943071722984314,0.0,0.0,0.0,1.943071722984314,0.0,-4.5493855476379395,-0.0,-0.0,-0.0,3.053802967071533,-0.13603883981704712,-3.889500856399536,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.5999999642372131,-1.1920928955078125e-07,-0.055999934673309326,0.6000000238418579,6.107605934143066,9.685754776000977e-07,-7.779001712799072,0.0,0.0,0.0,-3.427267074584961e-07,-1.3411823829301284e-06,-2.682209014892578e-07,39.626155853271484,39.626155853271484,59.275333404541016,59.275333404541016,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,-5.081687927246094,-5.081687927246094,0.532302975654602,0.532302975654602,2.054824113845825,2.054824113845825,-0.04682275652885437,-0.04682275652885437,-0.0649295300245285,-0.0649295300245285,1.943071722984314,1.943071722984314,0.516597330570221,0.516597330570221,-0.4201531410217285,-0.4201531410217285,-0.15835371613502502,-0.15835371613502502,-78.2940444946289,-78.2940444946289,-51.927852630615234,-51.927852630615234,-36.927852630615234,-36.927852630615234,15.000000953674316,15.000000953674316,1.0,0.04,180.0
2,0.008333333333333333,0.11273169082268332,13.307231902966834,-78.78307460169381,0.11273169082268332,13.307231902966834,-78.78307460169381,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,13.307228088378906,13.307231903076172,13.307232856750488,13.307232856750488,0.14867664873600006,0.14972516894340515,5.124557971954346,5.492724895477295,0.0,0.0,0.0,0.0,nan,nan,31.002347946166992,31.002347946166992,62.004695892333984,0.0,-4.008694648742676,1.9295849800109863,0.0,0.0,0.0,1.9295849800109863,0.0,-4.008694648742676,0.0,0.0,0.0,2.9010071754455566,-0.10467245429754257,-3.3713693618774414,0.0,0.0,0.0,0.0,-4.008694648742676,1.9295849800109863,0.0,0.0,0.0,1.9295849800109863,0.0,-4.008694648742676,-0.0,-0.0,-0.0,2.9010074138641357,0.10467329621315002,-3.3713693618774414,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.341104507446289e-07,0.05600002408027649,0.5999999046325684,-7.450580596923828e-09,-0.055999934673309326,0.5999999642372131,5.802014350891113,8.419156074523926e-07,-6.742738723754883,0.0,0.0,0.0,-2.980232238769531e-07,-1.2974189758097054e-06,-2.2351741790771484e-07,39.31936264038086,39.319366455078125,58.88547134399414,58.88547134399414,0.0,0.0,0.36458078026771545,0.36458078026771545,0.6354192495346069,0.6354192495346069,0.0,0.0,-5.065149307250977,-5.065149307250977,1.056455135345459,1.056455135345459,2.0411925315856934,2.0411925315856934,-0.04667803645133972,-0.04667803645133972,-0.0649295300245285,-0.0649295300245285,1.9295849800109863,1.9295849800109863,0.5163167715072632,0.5163167715072632,-0.4197551906108856,-0.4197551906108856,-0.1579558104276657,-0.1579558104276657,-76.86637878417969,-76.86637878417969,-51.160369873046875,-51.160369873046875,-36.16036605834961,-36.16036605834961,15.000000953674316,15.000000953674316,1.0,0.04,180.0
3,0.0125,0.1673870810866954,12.899496224280941,-116.67057337084825,0.1673870810866954,12.899496224280941,-116.67057337084825,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,12.899492263793945,12.899494171142578,12.899497032165527,12.899497032165527,0.2003849893808365,0.20147494971752167,4.343259334564209,4.722360134124756,0.0,0.0,0.0,0.0,nan,nan,26.61373519897461,26.61373519897461,53.22747039794922,0.0,-3.350015640258789,1.8455379009246826,0.0,0.0,0.0,1.8455379009246826,0.0,-3.350015640258789,0.0,0.0,0.0,2.6468727588653564,-0.27028679847717285,-2.7476580142974854,0.0,0.0,0.0,0.0,-3.350015640258789,1.8455379009246826,0.0,0.0,0.0,1.8455379009246826,0.0,-3.350015640258789,-0.0,-0.0,-0.0,2.6468729972839355,0.2702874541282654,-2.747657537460327,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-07,0.0559999942779541,0.5999999642372131,-5.21540641784668e-08,-0.055999934673309326,0.6000000238418579,5.293745994567871,6.556510925292969e-07,-5.4953155517578125,0.0,0.0,0.0,-2.086162567138672e-07,-9.561600791130331e-07,-1.1920928955078125e-07,38.78857421875,38.78858184814453,58.211551666259766,58.211551666259766,0.0,0.0,0.3787931799888611,0.3787931799888611,0.6212068796157837,0.6212068796157837,0.0,0.0,-4.914529800415039,-4.914529800415039,1.56451416015625,1.56451416015625,1.955828309059143,1.955828309059143,-0.04536082595586777,-0.04536082595586777,-0.0649295300245285,-0.0649295300245285,1.8455379009246826,1.8455379009246826,0.5158532857894897,0.5158532857894897,-0.41565755009651184,-0.41565755009651184,-0.15385812520980835,-0.15385812520980835,-74.51117706298828,-74.51117706298828,-49.853824615478516,-49.853824615478516,-34.853824615478516,-34.853824615478516,15.000000953674316,15.000000953674316,1.0,0.04,180.0
4,0.016666666666666666,0.22001914809072004,12.337370849175583,-152.7959392794294,0.22001914809072004,12.337370849175583,-152.7959392794294,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,12.337371826171875,12.33736801147461,12.337370872497559,12.337371826171875,0.2496335357427597,0.2507522404193878,3.503429412841797,3.888791084289551,0.0,0.0,0.0,0.0,nan,nan,21.583030700683594,21.583030700683594,43.16606140136719,0.0,-2.5852770805358887,1.6978816986083984,0.0,0.0,0.0,1.6978816986083984,0.0,-2.5852770805358887,0.0,0.0,0.0,2.303201198577881,-0.34385842084884644,-2.035555362701416,0.0,0.0,0.0,0.0,-2.5852770805358887,1.6978816986083984,0.0,0.0,0.0,1.6978816986083984,0.0,-2.5852770805358887,-0.0,-0.0,-0.0,2.3032009601593018,0.3438589572906494,-2.035555362701416,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-08,0.05600005388259888,0.6000000238418579,-2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,4.606402397155762,5.364418029785156e-07,-4.071110725402832,0.0,0.0,0.0,-1.7881393432617188e-07,-2.5782316015465767e-07,-2.2351741790771484e-07,38.02949905395508,38.02949523925781,57.23278045654297,57.23278045654297,0.0,0.0,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,-4.634220600128174,-4.634220600128174,2.0489437580108643,2.0489437580108643,1.8057210445404053,1.8057210445404053,-0.042909637093544006,-0.042909637093544006,-0.0649295300245285,-0.0649295300245285,1.6978816986083984,1.6978816986083984,0.5152130126953125,0.5152130126953125,-0.407926082611084,-0.407926082611084,-0.14612668752670288,-0.14612668752670288,-71.2641830444336,-71.2641830444336,-48.02804946899414,-48.02804946899414,-33.02804946899414,-33.02804946899414,15.000000953674316,15.000000953674316,1.0,0.04,180.0
5,0.020833333333333332,0.27000137501824434,11.629296631771005,-186.64091626381105,0.27000137501824434,11.629296631771005,-186.64091626381105,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,11.629292488098145,11.62929630279541,11.62929630279541,11.62929630279541,0.2958446741104126,0.29697903990745544,2.6164519786834717,3.003361940383911,0.0,0.0,0.0,0.0,nan,nan,16.221879959106445,16.221879959106445,32.44375991821289,0.0,-1.7291160821914673,1.4986565113067627,0.0,0.0,0.0,1.4986565113067627,0.0,-1.7291160821914673,0.0,0.0,0.0,1.8876147270202637,-0.3153179883956909,-1.2543121576309204,0.0,0.0,0.0,0.0,-1.7291160821914673,1.4986565113067627,0.0,0.0,0.0,1.4986565113067627,0.0,-1.7291160821914673,-0.0,-0.0,-0.0,1.8876147270202637,0.31531837582588196,-1.2543120384216309,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.6391277313232422e-07,0.05600002408027649,0.5999999642372131,2.9802322387695312e-08,-0.055999934673309326,0.6000000238418579,3.7752294540405273,3.8743019104003906e-07,-2.5086240768432617,0.0,0.0,0.0,-1.4156103134155273e-07,-3.928712146716862e-07,-1.043081283569336e-07,37.03632736206055,37.03632736206055,55.91868209838867,55.91868209838867,0.0,0.0,0.40716320276260376,0.40716320276260376,0.592836856842041,0.592836856842041,0.0,0.0,-4.23190975189209,-4.23190975189209,2.502793788909912,2.502793788909912,1.6029778718948364,1.6029778718948364,-0.039391886442899704,-0.039391886442899704,-0.0649295300245285,-0.0649295300245285,1.4986565113067627,1.4986565113067627,0.514404296875,0.514404296875,-0.3966805636882782,-0.3966805636882782,-0.1348811537027359,-0.1348811537027359,-67.17414093017578,-67.17414093017578,-45.710506439208984,-45.710506439208984,-30.71050453186035,-30.71050453186035,15.000000953674316,15.000000953674316,1.0,0.04,180.0
6,0.025,0.3167467774901909,10.785762637597363,-217.74249604755366,0.3167467774901909,10.785762637597363,-217.74249604755366,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,10.785762786865234,10.785762786865234,10.785762786865234,10.785762786865234,0.338485985994339,0.33962300419807434,1.6943961381912231,2.0782105922698975,0.0,0.0,0.0,0.0,nan,nan,10.862597465515137,10.862597465515137,21.725194931030273,0.0,-0.7981234788894653,1.2638262510299683,0.0,0.0,0.0,1.2638262510299683,0.0,-0.7981234788894653,0.0,0.0,0.0,1.4218859672546387,-0.18205469846725464,-0.42350223660469055,0.0,0.0,0.0,0.0,-0.7981234788894653,1.2638262510299683,0.0,0.0,0.0,1.2638262510299683,0.0,-0.7981234788894653,-0.0,-0.0,-0.0,1.4218860864639282,0.18205490708351135,-0.4235021471977234,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.195638656616211e-08,0.05600005388259888,0.6000000238418579,-5.21540641784668e-08,-0.055999934673309326,0.6000000238418579,2.8437719345092773,2.086162567138672e-07,-0.8470044136047363,0.0,0.0,0.0,-5.587935447692871e-08,-9.466012329539808e-08,-1.564621925354004e-07,35.80207443237305,35.80207443237305,54.2279052734375,54.2279052734375,0.0,0.0,0.44963017106056213,0.44963017106056213,0.5503698587417603,0.5503698587417603,0.0,0.0,-3.7179791927337646,-3.7179791927337646,2.9198555946350098,2.9198555946350098,1.3636544942855835,1.3636544942855835,-0.034898631274700165,-0.034898631274700165,-0.0649295300245285,-0.0649295300245285,1.2638262510299683,1.2638262510299683,0.5134376287460327,0.5134376287460327,-0.382091224193573,-0.382091224193573,-0.1202918067574501,-0.1202918067574501,-62.30165481567383,-62.30165481567383,-42.93557357788086,-42.93557357788086,-27.93557357788086,-27.93557357788086,15.000000953674316,15.000000953674316,1.0,0.04,180.0
7,0.029166666666666667,0.3597159318231308,9.819055918982617,-245.70205234548735,0.3597159318231308,9.819055918982617,-245.70205234548735,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,9.819055557250977,9.819053649902344,9.819056510925293,9.819056510925293,0.3770771622657776,0.3782039284706116,0.749778151512146,1.12595534324646,0.0,0.0,0.0,0.0,nan,nan,5.832276344299316,5.832276344299316,11.664552688598633,0.0,0.1900762915611267,1.0118235349655151,0.0,0.0,0.0,1.0118235349655151,0.0,0.1900762915611267,0.0,0.0,0.0,0.9299744963645935,0.051266733556985855,0.4386742115020752,0.0,0.0,0.0,0.0,0.1900762915611267,1.0118235349655151,0.0,0.0,0.0,1.0118235349655151,0.0,0.1900762915611267,-0.0,-0.0,-0.0,0.9299744963645935,-0.051266759634017944,0.4386742413043976,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600005388259888,0.5999999642372131,-5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,1.859948992729187,-2.60770320892334e-08,0.8773484230041504,0.0,0.0,0.0,4.0978193283081055e-08,3.9352151759430853e-08,-8.940696716308594e-08,34.319053649902344,34.319053649902344,52.1070556640625,52.1070556640625,0.0,0.0,0.4920608103275299,0.4920608103275299,0.5079392194747925,0.5079392194747925,0.0,0.0,-3.104707956314087,-3.104707956314087,3.2947843074798584,3.2947843074798584,1.1062906980514526,1.1062906980514526,-0.029537610709667206,-0.029537610709667206,-0.0649295300245285,-0.0649295300245285,1.0118235349655151,1.0118235349655151,0.5123254060745239,0.5123254060745239,-0.3643745183944702,-0.3643745183944702,-0.1025751456618309,-0.1025751456618309,-56.717674255371094,-56.717674255371094,-39.74374008178711,-39.74374008178711,-24.74374008178711,-24.74374008178711,15.000000953674316,15.000000953674316,1.0,0.04,180.0
8,0.03333333333333333,0.3984238878632806,8.742978671698525,-270.19182689516896,0.3984238878632806,8.742978671698525,-270.19182689516896,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,8.742979049682617,8.742979049682617,8.742979049682617,8.742979049682617,0.4111950695514679,0.4122988283634186,-0.20475691556930542,0.15940576791763306,0.0,0.0,0.0,0.0,nan,nan,1.4290015697479248,1.4290015697479248,2.8580031394958496,0.0,1.217810034751892,0.762012779712677,0.0,0.0,0.0,0.762012779712677,0.0,1.217810034751892,0.0,0.0,0.0,0.43605417013168335,0.3735981583595276,1.3168165683746338,0.0,0.0,0.0,0.0,1.217810034751892,0.762012779712677,0.0,0.0,0.0,0.762012779712677,0.0,1.217810034751892,-0.0,-0.0,-0.0,0.4360541105270386,-0.3735984265804291,1.3168165683746338,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.0559999942779541,0.5999999642372131,5.21540641784668e-08,-0.0559999942779541,0.6000000238418579,0.8721082806587219,-2.682209014892578e-07,2.6336331367492676,0.0,0.0,0.0,2.2351741790771484e-08,1.800411553176673e-07,-6.51925802230835e-08,32.57978439331055,32.57978820800781,49.490028381347656,49.49003219604492,0.0,0.0,0.5486653447151184,0.5486653447151184,0.45133471488952637,0.45133471488952637,0.0,0.0,-2.405374050140381,-2.405374050140381,3.6231842041015625,3.6231842041015625,0.8503677248954773,0.8503677248954773,-0.02342534437775612,-0.02342534437775612,-0.0649295300245285,-0.0649295300245285,0.762012779712677,0.762012779712677,0.5110817551612854,0.5110817551612854,-0.34378841519355774,-0.34378841519355774,-0.08198899775743484,-0.08198899775743484,-50.501949310302734,-50.501949310302734,-36.180702209472656,-36.180702209472656,-21.180700302124023,-21.180700302124023,15.000000953674316,15.000000953674316,1.0,0.04,180.0
9,0.0375,0.43244585392545987,7.572544116977917,-290.95864999909185,0.43244585392545987,7.572544116977917,-290.95864999909185,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4000000000000001,2.0,0.0,4.0,4.999999999999999,3.333333333333334,7.572543621063232,7.572542190551758,7.572544097900391,7.572544097900391,0.4404776394367218,0.44154617190361023,-1.1567368507385254,-0.808742105960846,0.0,0.0,0.0,0.0,nan,nan,-2.097229242324829,-2.097229242324829,-4.194458484649658,0.0,2.2683348655700684,0.5332677364349365,0.0,0.0,0.0,0.5332677364349365,0.0,2.2683348655700684,0.0,0.0,0.0,-0.037231940776109695,0.7689111232757568,2.1993424892425537,0.0,0.0,0.0,0.0,2.2683348655700684,0.5332677364349365,0.0,0.0,0.0,0.5332677364349365,0.0,2.2683348655700684,-0.0,-0.0,-0.0,-0.03723163902759552,-0.7689113616943359,2.1993422508239746,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600002408027649,0.5999999642372131,-1.1175870895385742e-07,-0.055999964475631714,0.6000000238418579,-0.07446357607841492,-2.384185791015625e-07,4.398684501647949,0.0,0.0,0.0,1.862645149230957e-07,5.921287993260194e-07,5.3551048040390015e-08,30.57847023010254,30.57846450805664,46.2987060546875,46.2987060546875,0.0,0.0,0.6335949301719666,0.6335949301719666,0.366405189037323,0.366405189037323,0.0,0.0,-1.633325457572937,-1.633325457572937,3.901660203933716,3.901660203933716,0.6148762106895447,0.6148762106895447,-0.016679026186466217,-0.016679026186466217,-0.0649295300245285,-0.0649295300245285,0.5332677364349365,0.5332677364349365,0.5097222924232483,0.5097222924232483,-0.3206257224082947,-0.3206257224082947,-0.05882633477449417,-0.05882633477449417,-43.741180419921875,-43.741180419921875,-32.2962760925293,-32.2962760925293,-17.296276092529297,-17.296276092529297,15.000000953674316,15.000000953674316,1.0,0.04,180.0
