step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,15.702888249664682,-0.0,0.0,15.702888249664682,-0.0,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,15.702889442443848,15.702885627746582,15.702888488769531,15.702888488769531,0.04630924016237259,0.04738061875104904,7.423032760620117,7.805566787719727,0.0,0.0,0.0,0.0,nan,nan,44.62828826904297,44.62828826904297,89.25657653808594,0.0,-5.516254901885986,0.05780911073088646,0.0,0.0,0.0,0.05780911073088646,0.0,-5.516254901885986,0.0,0.0,0.0,1.4781969785690308,0.47720542550086975,-5.293355941772461,0.0,0.0,0.0,0.0,-5.516254901885986,0.05780911073088646,0.0,0.0,0.0,0.05780911073088646,0.0,-5.516254901885986,-0.0,-0.0,-0.0,1.4781969785690308,-0.47720420360565186,-5.293356418609619,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,2.9563939571380615,1.2218952178955078e-06,-10.586711883544922,0.0,0.0,0.0,-5.960464477539062e-07,-7.88771558291046e-07,-1.4901161193847656e-07,42.12084197998047,42.12084197998047,62.316097259521484,62.316097259521484,0.0,0.0,0.307471364736557,0.307471364736557,0.6925286650657654,0.6925286650657654,0.45133471488952637,0.45133471488952637,-6.562139511108398,-6.562139511108398,0.0,0.0,1.8585456609725952,1.8585456609725952,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.05780911073088646,0.05780911073088646,0.594956636428833,0.594956636428833,-0.4518970251083374,-0.4518970251083374,-0.1900976300239563,-0.1900976300239563,-90.70437622070312,-90.70437622070312,-58.836822509765625,-58.836822509765625,-43.83681869506836,-43.83681869506836,15.000000953674316,15.000000953674316,1.0,0.2,180.0
1,0.004166666666666667,0.06525829751419253,15.56151493320724,-67.61854276193414,0.06525829751419253,15.56151493320724,-67.61854276193414,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,15.561513900756836,15.561514854431152,15.561514854431152,15.561515808105469,0.1090659499168396,0.11021041125059128,6.653210163116455,7.057210922241211,0.0,0.0,0.0,0.0,nan,nan,40.34431457519531,40.34431457519531,80.68862915039062,0.0,-4.854955673217773,0.0517759695649147,0.0,0.0,0.0,0.0517759695649147,0.0,-4.854955673217773,0.0,0.0,0.0,1.3062783479690552,0.1036880612373352,-4.675057411193848,0.0,0.0,0.0,0.0,-4.854955673217773,0.0517759695649147,0.0,0.0,0.0,0.0517759695649147,0.0,-4.854955673217773,-0.0,-0.0,-0.0,1.3062787055969238,-0.10368702560663223,-4.675057411193848,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600002408027649,0.5999999642372131,7.450580596923828e-09,-0.055999934673309326,0.5999999642372131,2.6125569343566895,1.0356307029724121e-06,-9.350114822387695,0.0,0.0,0.0,-4.172325134277344e-07,-8.523583687747305e-07,-1.043081283569336e-07,41.981101989746094,41.981101989746094,62.14265441894531,62.14265823364258,0.0,0.0,0.307471364736557,0.307471364736557,0.6925286650657654,0.6925286650657654,0.46549156308174133,0.46549156308174133,-6.730287551879883,-6.730287551879883,0.9067425727844238,0.9067425727844238,1.9258055686950684,1.9258055686950684,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.0517759695649147,0.0517759695649147,0.5942407846450806,0.5942407846450806,-0.45638784766197205,-0.45638784766197205,-0.19458840787410736,-0.19458840787410736,-89.88776397705078,-89.88776397705078,-58.46674728393555,-58.46674728393555,-43.46674728393555,-43.46674728393555,15.000000953674316,15.000000953674316,1.0,0.2,180.0
2,0.008333333333333333,0.12934500023824158,15.142693690609613,-132.71269236267958,0.12934500023824158,15.142693690609613,-132.71269236267958,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,15.142693519592285,15.142692565917969,15.142694473266602,15.142694473266602,0.16981743276119232,0.1710149198770523,5.756378173828125,6.17446756362915,0.0,0.0,0.0,0.0,nan,nan,34.27042007446289,34.27042007446289,68.54084014892578,0.0,-4.023346900939941,0.06134406849741936,0.0,0.0,0.0,0.06134406849741936,0.0,-4.023346900939941,0.0,0.0,0.0,1.0996209383010864,-0.17185546457767487,-3.8668313026428223,0.0,0.0,0.0,0.0,-4.023346900939941,0.06134406849741936,0.0,0.0,0.0,0.06134406849741936,0.0,-4.023346900939941,-0.0,-0.0,-0.0,1.0996209383010864,0.17185629904270172,-3.8668313026428223,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-5.21540641784668e-08,0.05600002408027649,0.5999999642372131,-4.470348358154297e-08,-0.055999964475631714,0.6000000238418579,2.199241876602173,8.344650268554688e-07,-7.7336626052856445,0.0,0.0,0.0,-2.384185791015625e-07,-7.857959758439392e-07,-6.705522537231445e-08,41.50654602050781,41.50654602050781,61.58373260498047,61.58373260498047,0.0,0.0,0.3217938542366028,0.3217938542366028,0.678206205368042,0.678206205368042,0.45133471488952637,0.45133471488952637,-6.6641340255737305,-6.6641340255737305,1.7796337604522705,1.7796337604522705,1.8935948610305786,1.8935948610305786,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.06134406849741936,0.06134406849741936,0.5921111702919006,0.5921111702919006,-0.4547325670719147,-0.4547325670719147,-0.19293317198753357,-0.19293317198753357,-87.46852111816406,-87.46852111816406,-57.164859771728516,-57.164859771728516,-42.164859771728516,-42.164859771728516,15.000000953674316,15.000000953674316,1.0,0.2,180.0
3,0.0125,0.19113198563507966,14.46190963840402,-192.9537881242988,0.19113198563507966,14.46190963840402,-192.9537881242988,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,14.461904525756836,14.461905479431152,14.461910247802734,14.461910247802734,0.22750847041606903,0.2287387251853943,4.750616550445557,5.175339221954346,0.0,0.0,0.0,0.0,nan,nan,26.891006469726562,26.891006469726562,53.782012939453125,0.0,-3.024721384048462,0.05345482379198074,0.0,0.0,0.0,0.05345482379198074,0.0,-3.024721384048462,0.0,0.0,0.0,0.8302160501480103,-0.31555235385894775,-2.891879081726074,0.0,0.0,0.0,0.0,-3.024721384048462,0.05345482379198074,0.0,0.0,0.0,0.05345482379198074,0.0,-3.024721384048462,-0.0,-0.0,-0.0,0.830216109752655,0.3155530095100403,-2.891879081726074,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1175870895385742e-07,0.0559999942779541,0.5999999642372131,-8.940696716308594e-08,-0.055999934673309326,0.6000000238418579,1.6604321002960205,6.556510925292969e-07,-5.783758163452148,0.0,0.0,0.0,-1.7881393432617188e-07,-8.897857242118334e-07,-3.725290298461914e-08,40.696022033691406,40.696022033691406,60.619384765625,60.61939239501953,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.45133471488952637,0.45133471488952637,-6.369612216949463,-6.369612216949463,2.587446928024292,2.587446928024292,1.7668466567993164,1.7668466567993164,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.05345482379198074,0.05345482379198074,0.5886207818984985,0.5886207818984985,-0.44704121351242065,-0.44704121351242065,-0.18524184823036194,-0.18524184823036194,-83.53612518310547,-83.53612518310547,-54.97941207885742,-54.97941207885742,-39.97941207885742,-39.97941207885742,15.000000953674316,15.000000953674316,1.0,0.2,180.0
4,0.016666666666666666,0.2495751152647968,13.543648854288747,-246.3793130473751,0.2495751152647968,13.543648854288747,-246.3793130473751,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,13.543644905090332,13.543647766113281,13.543649673461914,13.543649673461914,0.2812332510948181,0.282476007938385,3.6639723777770996,4.088178634643555,0.0,0.0,0.0,0.0,nan,nan,19.092281341552734,19.092281341552734,38.18456268310547,0.0,-1.9260692596435547,0.06063332408666611,0.0,0.0,0.0,0.06063332408666611,0.0,-1.9260692596435547,0.0,0.0,0.0,0.5504658222198486,-0.31248053908348083,-1.8200995922088623,0.0,0.0,0.0,0.0,-1.9260692596435547,0.06063332408666611,0.0,0.0,0.0,0.06063332408666611,0.0,-1.9260692596435547,-0.0,-0.0,-0.0,0.5504658222198486,0.31248095631599426,-1.8200994729995728,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-4.470348358154297e-08,0.0559999942779541,0.6000000238418579,-2.9802322387695312e-08,-0.0559999942779541,0.6000000238418579,1.1009316444396973,4.172325134277344e-07,-3.6401991844177246,0.0,0.0,0.0,-7.450580596923828e-09,-2.983375679832534e-07,5.587935447692871e-09,39.54815673828125,39.548160552978516,59.215293884277344,59.215293884277344,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.42301318049430847,0.42301318049430847,-5.865289688110352,-5.865289688110352,3.303866147994995,3.303866147994995,1.5624911785125732,1.5624911785125732,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.06063332408666611,0.06063332408666611,0.5838547945022583,0.5838547945022583,-0.43363264203071594,-0.43363264203071594,-0.17183321714401245,-0.17183321714401245,-78.23198699951172,-78.23198699951172,-51.98927688598633,-51.98927688598633,-36.98927688598633,-36.98927688598633,15.000000953674316,15.000000953674316,1.0,0.2,180.0
5,0.020833333333333332,0.30374822410850183,12.41959269084241,-291.51661654934446,0.30374822410850183,12.41959269084241,-291.51661654934446,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,12.419589042663574,12.419587135314941,12.41959285736084,12.41959285736084,0.3301997184753418,0.3314357399940491,2.5232081413269043,2.9401962757110596,0.0,0.0,0.0,0.0,nan,nan,11.583986282348633,11.583986282348633,23.167972564697266,0.0,-0.7642195224761963,0.05998969078063965,0.0,0.0,0.0,0.05998969078063965,0.0,-0.7642195224761963,0.0,0.0,0.0,0.25109556317329407,-0.16463486850261688,-0.7053202390670776,0.0,0.0,0.0,0.0,-0.7642195224761963,0.05998969078063965,0.0,0.0,0.0,0.05998969078063965,0.0,-0.7642195224761963,-0.0,-0.0,-0.0,0.25109556317329407,0.1646350473165512,-0.7053201794624329,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.195638656616211e-08,0.05600002408027649,0.5999999642372131,-1.2665987014770508e-07,-0.05599990487098694,0.6000000238418579,0.5021911263465881,1.7881393432617188e-07,-1.4106404781341553,0.0,0.0,0.0,-9.685754776000977e-08,-2.2516826447827043e-07,-3.725290298461914e-08,38.062259674072266,38.06226348876953,57.32203674316406,57.32203674316406,0.0,0.0,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.3946942090988159,0.3946942090988159,-5.179614543914795,-5.179614543914795,3.909142255783081,3.909142255783081,1.306074619293213,1.306074619293213,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.05998969078063965,0.05998969078063965,0.5779259204864502,0.5779259204864502,-0.41500765085220337,-0.41500765085220337,-0.15320822596549988,-0.15320822596549988,-71.73912048339844,-71.73912048339844,-48.298133850097656,-48.298133850097656,-33.298133850097656,-33.298133850097656,15.000000953674316,15.000000953674316,1.0,0.2,180.0
6,0.025,0.35286864061347667,11.126415398880388,-327.4482259532301,0.35286864061347667,11.126415398880388,-327.4482259532301,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,11.126410484313965,11.12641429901123,11.126415252685547,11.126415252685547,0.37376728653907776,0.374978631734848,1.3555002212524414,1.7591910362243652,0.0,0.0,0.0,0.0,nan,nan,4.9495849609375,4.9495849609375,9.899169921875,0.0,0.42705973982810974,0.0714317038655281,0.0,0.0,0.0,0.0714317038655281,0.0,0.42705973982810974,0.0,0.0,0.0,-0.03763861209154129,0.11236649751663208,0.4164608120918274,0.0,0.0,0.0,0.0,0.42705973982810974,0.0714317038655281,0.0,0.0,0.0,0.0714317038655281,0.0,0.42705973982810974,-0.0,-0.0,-0.0,-0.03763864189386368,-0.11236658692359924,0.416460782289505,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.862645149230957e-07,0.0559999942779541,0.5999999642372131,0.0,-0.0559999942779541,0.6000000238418579,-0.07527725398540497,-8.940696716308594e-08,0.8329216241836548,0.0,0.0,0.0,7.450580596923828e-09,1.1704980806825915e-07,-2.2351741790771484e-08,36.23984146118164,36.239845275878906,54.87501907348633,54.875022888183594,0.0,0.0,0.43548205494880676,0.43548205494880676,0.5645179748535156,0.5645179748535156,0.3381875455379486,0.3381875455379486,-4.347029685974121,-4.347029685974121,4.390973091125488,4.390973091125488,1.0271601676940918,1.0271601676940918,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.0714317038655281,0.0714317038655281,0.5709688663482666,0.5709688663482666,-0.39181193709373474,-0.39181193709373474,-0.13001248240470886,-0.13001248240470886,-64.26935577392578,-64.26935577392578,-44.0272102355957,-44.0272102355957,-29.02720832824707,-29.02720832824707,15.000000953674316,15.000000953674316,1.0,0.2,180.0
7,0.029166666666666667,0.3963131040833693,9.703436283868541,-353.8170175854791,0.3963131040833693,9.703436283868541,-353.8170175854791,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,9.703436851501465,9.703433990478516,9.703435897827148,9.703435897827148,0.41146132349967957,0.41263192892074585,0.18820112943649292,0.5732847452163696,0.0,0.0,0.0,0.0,nan,nan,-0.3636851906776428,-0.3636851906776428,-0.7273703813552856,0.0,1.6085710525512695,0.07014612853527069,0.0,0.0,0.0,0.07014612853527069,0.0,1.6085710525512695,0.0,0.0,0.0,-0.32876601815223694,0.4902425706386566,1.497997522354126,0.0,0.0,0.0,0.0,1.6085710525512695,0.07014612853527069,0.0,0.0,0.0,0.07014612853527069,0.0,1.6085710525512695,-0.0,-0.0,-0.0,-0.3287660479545593,-0.49024292826652527,1.4979974031448364,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,6.705522537231445e-08,0.05600005388259888,0.6000000238418579,-2.9802322387695312e-08,-0.0559999942779541,0.6000000238418579,-0.6575320959091187,-3.5762786865234375e-07,2.995995044708252,0.0,0.0,0.0,9.685754776000977e-08,7.812664648554346e-08,6.705522537231445e-08,34.086814880371094,34.086814880371094,51.7960205078125,51.7960205078125,0.0,0.0,0.5062065124511719,0.5062065124511719,0.4937935173511505,0.4937935173511505,0.28221216797828674,0.28221216797828674,-3.4037489891052246,-3.4037489891052246,4.744570732116699,4.744570732116699,0.7547234296798706,0.7547234296798706,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.07014612853527069,0.07014612853527069,0.5631340742111206,0.5631340742111206,-0.3647918105125427,-0.3647918105125427,-0.10299243032932281,-0.10299243032932281,-56.04982376098633,-56.04982376098633,-39.30743408203125,-39.30743408203125,-24.30743408203125,-24.30743408203125,15.000000953674316,15.000000953674316,1.0,0.2,180.0
8,0.03333333333333333,0.4336239856217985,8.190364793213288,-370.77871892613314,0.4336239856217985,8.190364793213288,-370.77871892613314,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,8.190364837646484,8.1903657913208,8.190364837646484,8.190364837646484,0.4429369568824768,0.4440529942512512,-0.9580250382423401,-0.5961395502090454,0.0,0.0,0.0,0.0,nan,nan,-4.27095890045166,-4.27095890045166,-8.54191780090332,0.0,2.789536952972412,0.0832630842924118,0.0,0.0,0.0,0.0832630842924118,0.0,2.789536952972412,0.0,0.0,0.0,-0.5985244512557983,0.9486775994300842,2.555431365966797,0.0,0.0,0.0,0.0,2.789536952972412,0.0832630842924118,0.0,0.0,0.0,0.0832630842924118,0.0,2.789536952972412,-0.0,-0.0,-0.0,-0.5985243916511536,-0.948678195476532,2.5554311275482178,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,1.4901161193847656e-08,0.05600002408027649,0.5999999642372131,7.450580596923828e-09,-0.055999964475631714,0.6000000238418579,-1.1970489025115967,-5.960464477539062e-07,5.110862731933594,0.0,0.0,0.0,2.2351741790771484e-07,2.0702985636944504e-07,4.0978193283081055e-08,31.61664581298828,31.61664581298828,47.998756408691406,47.99875259399414,0.0,0.0,0.5911480784416199,0.5911480784416199,0.4088520109653473,0.4088520109653473,0.18770600855350494,0.18770600855350494,-2.383991241455078,-2.383991241455078,4.972021102905273,4.972021102905273,0.5135637521743774,0.5135637521743774,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.0832630842924118,0.0832630842924118,0.5545808672904968,0.5545808672904968,-0.3347489833831787,-0.3347489833831787,-0.0729495957493782,-0.0729495957493782,-47.30989074707031,-47.30989074707031,-34.27183151245117,-34.27183151245117,-19.27182960510254,-19.27182960510254,15.000000953674316,15.000000953674316,1.0,0.2,180.0
9,0.0375,0.46450663013007265,6.625331021541238,-378.9156193756838,0.46450663013007265,6.625331021541238,-378.9156193756838,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.46000000000000013,2.0,0.0,4.0,4.347826086956521,3.703703703703705,6.62532901763916,6.625330448150635,6.625330924987793,6.625331401824951,0.46805673837661743,0.4691063165664673,-2.0563225746154785,-1.7212839126586914,0.0,0.0,0.0,0.0,nan,nan,-6.485254764556885,-6.485254764556885,-12.97050952911377,0.0,3.900911331176758,0.07157020270824432,0.0,0.0,0.0,0.07157020270824432,0.0,3.900911331176758,0.0,0.0,0.0,-0.8692635297775269,1.4392781257629395,3.5206661224365234,0.0,0.0,0.0,0.0,3.900911331176758,0.07157020270824432,0.0,0.0,0.0,0.07157020270824432,0.0,3.900911331176758,-0.0,-0.0,-0.0,-0.8692633509635925,-1.4392788410186768,3.5206658840179443,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.2665987014770508e-07,0.05600002408027649,0.5999999642372131,-5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,-1.7385268211364746,-7.152557373046875e-07,7.041332244873047,0.0,0.0,0.0,3.129243850708008e-07,9.96128392216633e-07,-4.842877388000488e-08,28.854488372802734,28.854488372802734,43.402076721191406,43.402076721191406,0.0,0.0,0.7316272258758545,0.7316272258758545,0.26837289333343506,0.26837289333343506,0.10289160162210464,0.10289160162210464,-1.3172807693481445,-1.3172807693481445,5.081134796142578,5.081134796142578,0.32227203249931335,0.32227203249931335,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.07157020270824432,0.07157020270824432,0.5454722046852112,0.5454722046852112,-0.3024967908859253,-0.3024967908859253,-0.04069739580154419,-0.04069739580154419,-38.269805908203125,-38.269805908203125,-29.04880142211914,-29.04880142211914,-14.04880142211914,-14.04880142211914,15.000000953674316,15.000000953674316,1.0,0.2,180.0
