step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,15.626436246290831,-0.0,0.0,15.626436246290831,-0.0,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,15.626437187194824,15.626433372497559,15.626437187194824,15.626437187194824,0.0467742420732975,0.04783514887094498,7.497568607330322,7.880446910858154,0.0,0.0,0.0,0.0,nan,nan,52.564353942871094,52.564353942871094,105.12870788574219,0.0,-6.50804328918457,1.7000017166137695,0.0,0.0,0.0,1.7000017166137695,0.0,-6.50804328918457,0.0,0.0,0.0,3.320164442062378,0.5630039572715759,-5.822728633880615,0.0,0.0,0.0,0.0,-6.50804328918457,1.7000017166137695,0.0,0.0,0.0,1.7000017166137695,0.0,-6.50804328918457,-0.0,-0.0,-0.0,3.320164442062378,-0.5630026459693909,-5.822728633880615,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,0.0,0.05600005388259888,0.6000000238418579,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,6.640328884124756,1.3113021850585938e-06,-11.64545726776123,0.0,0.0,0.0,-6.854534149169922e-07,-8.676541938257287e-07,-3.725290298461914e-07,42.036163330078125,42.036163330078125,62.21710205078125,62.21710205078125,0.0,0.0,0.307471364736557,0.307471364736557,0.6925286650657654,0.6925286650657654,0.0,0.0,-6.50804328918457,-6.50804328918457,0.0,0.0,1.8357093334197998,1.8357093334197998,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.7000017166137695,1.7000017166137695,0.5920600295066833,0.5920600295066833,-0.450475811958313,-0.450475811958313,-0.1886763870716095,-0.1886763870716095,-90.26276397705078,-90.26276397705078,-58.58142852783203,-58.58142852783203,-43.581424713134766,-43.581424713134766,15.000000953674316,15.000000953674316,1.0,0.2,180.0
1,0.004166666666666667,0.06494222303644688,15.48863868064889,-65.92196372227774,0.06494222303644688,15.48863868064889,-65.92196372227774,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,15.488636016845703,15.48863410949707,15.488639831542969,15.488639831542969,0.1091935858130455,0.11032772064208984,6.726119041442871,7.13029146194458,0.0,0.0,0.0,0.0,nan,nan,47.841278076171875,47.841278076171875,95.68255615234375,0.0,-5.788984298706055,1.765527367591858,0.0,0.0,0.0,1.765527367591858,0.0,-5.788984298706055,0.0,0.0,0.0,3.2033140659332275,0.12546564638614655,-5.13346529006958,0.0,0.0,0.0,0.0,-5.788984298706055,1.765527367591858,0.0,0.0,0.0,1.765527367591858,0.0,-5.788984298706055,-0.0,-0.0,-0.0,3.2033140659332275,-0.12546436488628387,-5.13346529006958,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.5999999642372131,-1.4156103134155273e-07,-0.055999934673309326,0.5999999642372131,6.406628131866455,1.2814998626708984e-06,-10.26693058013916,0.0,0.0,0.0,-4.76837158203125e-07,-2.1794876374769956e-06,-2.682209014892578e-07,41.89979934692383,41.89979934692383,62.04718017578125,62.04718017578125,0.0,0.0,0.307471364736557,0.307471364736557,0.6925286650657654,0.6925286650657654,0.0,0.0,-6.672976493835449,-6.672976493835449,0.8839920163154602,0.8839920163154602,1.9012349843978882,1.9012349843978882,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.765527367591858,1.765527367591858,0.5914127230644226,0.5914127230644226,-0.45488905906677246,-0.45488905906677246,-0.19308963418006897,-0.19308963418006897,-89.46680450439453,-89.46680450439453,-58.22071838378906,-58.22071838378906,-43.22071838378906,-43.22071838378906,15.000000953674316,15.000000953674316,1.0,0.2,180.0
2,0.008333333333333333,0.12874217587114448,15.080132731047804,-129.51475978088072,0.12874217587114448,15.080132731047804,-129.51475978088072,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,15.080127716064453,15.080129623413086,15.080132484436035,15.080132484436035,0.16963621973991394,0.17082422971725464,5.82737398147583,6.245584011077881,0.0,0.0,0.0,0.0,nan,nan,41.093170166015625,41.093170166015625,82.18634033203125,0.0,-4.872829437255859,1.73471999168396,0.0,0.0,0.0,1.73471999168396,0.0,-4.872829437255859,0.0,0.0,0.0,2.93567156791687,-0.20520521700382233,-4.253639221191406,0.0,0.0,0.0,0.0,-4.872829437255859,1.73471999168396,0.0,0.0,0.0,1.73471999168396,0.0,-4.872829437255859,-0.0,-0.0,-0.0,2.93567156791687,0.2052062451839447,-4.253639221191406,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.195638656616211e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.5999999642372131,5.87134313583374,1.0281801223754883e-06,-8.507278442382812,0.0,0.0,0.0,-5.066394805908203e-07,-1.3957981082057813e-06,-3.427267074584961e-07,41.43540954589844,41.43540573120117,61.49885177612305,61.49884796142578,0.0,0.0,0.3217938542366028,0.3217938542366028,0.678206205368042,0.678206205368042,0.0,0.0,-6.609579563140869,-6.609579563140869,1.7367504835128784,1.7367504835128784,1.8704277276992798,1.8704277276992798,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.73471999168396,1.73471999168396,0.5894865393638611,0.5894865393638611,-0.4533015787601471,-0.4533015787601471,-0.19150221347808838,-0.19150221347808838,-87.10716247558594,-87.10716247558594,-56.951026916503906,-56.951026916503906,-41.951026916503906,-41.951026916503906,15.000000953674316,15.000000953674316,1.0,0.2,180.0
3,0.0125,0.1902977164596889,14.415220844392806,-188.61971322309145,0.1902977164596889,14.415220844392806,-188.61971322309145,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,14.415220260620117,14.415216445922852,14.415221214294434,14.415221214294434,0.2270902395248413,0.22831225395202637,4.822012901306152,5.2469682693481445,0.0,0.0,0.0,0.0,nan,nan,32.9576301574707,32.9576301574707,65.9152603149414,0.0,-3.7939226627349854,1.612133502960205,0.0,0.0,0.0,1.612133502960205,0.0,-3.7939226627349854,0.0,0.0,0.0,2.5338668823242188,-0.392650306224823,-3.2277188301086426,0.0,0.0,0.0,0.0,-3.7939226627349854,1.612133502960205,0.0,0.0,0.0,1.612133502960205,0.0,-3.7939226627349854,-0.0,-0.0,-0.0,2.5338666439056396,0.3926510810852051,-3.2277185916900635,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600005388259888,0.5999999642372131,-1.043081283569336e-07,-0.055999934673309326,0.6000000238418579,5.0677337646484375,7.748603820800781e-07,-6.455437660217285,0.0,0.0,0.0,-4.3213367462158203e-07,-8.72481564329064e-07,-3.427267074584961e-07,40.64137268066406,40.64137268066406,60.55233383178711,60.55233383178711,0.0,0.0,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,-6.323251724243164,-6.323251724243164,2.5293288230895996,2.5293288230895996,1.7478411197662354,1.7478411197662354,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.612133502960205,1.612133502960205,0.586327314376831,0.586327314376831,-0.4458124041557312,-0.4458124041557312,-0.1840130090713501,-0.1840130090713501,-83.26644134521484,-83.26644134521484,-54.816898345947266,-54.816898345947266,-39.816898345947266,-39.816898345947266,15.000000953674316,15.000000953674316,1.0,0.2,180.0
4,0.016666666666666666,0.2485843744356114,13.51658680716701,-241.3982762131816,0.2485843744356114,13.51658680716701,-241.3982762131816,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,13.516584396362305,13.51658821105957,13.516587257385254,13.516587257385254,0.28064700961112976,0.28188323974609375,3.7344164848327637,4.159029960632324,0.0,0.0,0.0,0.0,nan,nan,24.203514099121094,24.203514099121094,48.40702819824219,0.0,-2.5941710472106934,1.4136860370635986,0.0,0.0,0.0,1.4136860370635986,0.0,-2.5941710472106934,0.0,0.0,0.0,2.0281484127044678,-0.41833558678627014,-2.107093095779419,0.0,0.0,0.0,0.0,-2.5941710472106934,1.4136860370635986,0.0,0.0,0.0,1.4136860370635986,0.0,-2.5941710472106934,-0.0,-0.0,-0.0,2.0281481742858887,0.41833627223968506,-2.107093095779419,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-5.21540641784668e-08,0.05600005388259888,0.5999999642372131,3.725290298461914e-08,-0.0559999942779541,0.6000000238418579,4.056296348571777,6.854534149169922e-07,-4.214186191558838,0.0,0.0,0.0,-1.4901161193847656e-07,-3.40674006338304e-07,-9.685754776000977e-08,39.515464782714844,39.515464782714844,59.173404693603516,59.17340087890625,0.0,0.0,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,-5.831242561340332,-5.831242561340332,3.237071990966797,3.237071990966797,1.549393653869629,1.549393653869629,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.4136860370635986,1.4136860370635986,0.5820093750953674,0.5820093750953674,-0.4327142536640167,-0.4327142536640167,-0.17091484367847443,-0.17091484367847443,-78.07567596435547,-78.07567596435547,-51.89137268066406,-51.89137268066406,-36.89137268066406,-36.89137268066406,15.000000953674316,15.000000953674316,1.0,0.2,180.0
5,0.020833333333333332,0.30268719388907606,12.413712238052664,-286.44296526452507,0.30268719388907606,12.413712238052664,-286.44296526452507,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,12.413710594177246,12.41370964050293,12.413712501525879,12.413712501525879,0.32952553033828735,0.33075693249702454,2.5912089347839355,3.008826494216919,0.0,0.0,0.0,0.0,nan,nan,15.617355346679688,15.617355346679688,31.234710693359375,0.0,-1.3190886974334717,1.1636028289794922,0.0,0.0,0.0,1.1636028289794922,0.0,-1.3190886974334717,0.0,0.0,0.0,1.4574204683303833,-0.28280290961265564,-0.9433528184890747,0.0,0.0,0.0,0.0,-1.3190886974334717,1.1636028289794922,0.0,0.0,0.0,1.1636028289794922,0.0,-1.3190886974334717,-0.0,-0.0,-0.0,1.4574204683303833,0.2828030586242676,-0.9433528184890747,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.2665987014770508e-07,0.0559999942779541,0.5999999642372131,-3.725290298461914e-08,-0.055999934673309326,0.6000000238418579,2.9148409366607666,1.4901161193847656e-07,-1.8867056369781494,0.0,0.0,0.0,-7.078051567077637e-08,-3.2583892561888206e-07,-5.960464477539063e-08,38.055721282958984,38.05571365356445,57.312644958496094,57.312644958496094,0.0,0.0,0.3929862082004547,0.3929862082004547,0.6070138216018677,0.6070138216018677,0.0,0.0,-5.160195350646973,-5.160195350646973,3.841106414794922,3.841106414794922,1.299310564994812,1.299310564994812,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.1636028289794922,1.1636028289794922,0.5766309499740601,0.5766309499740601,-0.41447094082832336,-0.41447094082832336,-0.15267154574394226,-0.15267154574394226,-71.70515441894531,-71.70515441894531,-48.27088165283203,-48.27088165283203,-33.27088165283203,-33.27088165283203,15.000000953674316,15.000000953674316,1.0,0.2,180.0
6,0.025,0.3518251228565853,11.140930079657782,-322.8393940168003,0.3518251228565853,11.140930079657782,-322.8393940168003,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,11.140926361083984,11.140926361083984,11.14093017578125,11.14093017578125,0.37308770418167114,0.37429648637771606,1.419734239578247,1.82430100440979,0.0,0.0,0.0,0.0,nan,nan,7.8955183029174805,7.8955183029174805,15.791036605834961,0.0,-0.01343030110001564,0.8901969194412231,0.0,0.0,0.0,0.8901969194412231,0.0,-0.01343030110001564,0.0,0.0,0.0,0.8632187247276306,-0.0035202093422412872,0.2178804725408554,0.0,0.0,0.0,0.0,-0.01343030110001564,0.8901969194412231,0.0,0.0,0.0,0.8901969194412231,0.0,-0.01343030110001564,-0.0,-0.0,-0.0,0.8632187247276306,0.0035202130675315857,0.2178804576396942,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1175870895385742e-07,0.05600002408027649,0.5999999642372131,-1.1175870895385742e-07,-0.055999964475631714,0.6000000238418579,1.7264374494552612,3.725290298461914e-09,0.4357609152793884,0.0,0.0,0.0,1.30385160446167e-08,1.6728264995435893e-08,-5.21540641784668e-08,36.261756896972656,36.261756896972656,54.90483093261719,54.90483093261719,0.0,0.0,0.43548205494880676,0.43548205494880676,0.5645179748535156,0.5645179748535156,0.0,0.0,-4.3426008224487305,-4.3426008224487305,4.3291707038879395,4.3291707038879395,1.025904655456543,1.025904655456543,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.8901969194412231,0.8901969194412231,0.5703102350234985,0.5703102350234985,-0.3916844427585602,-0.3916844427585602,-0.1298850178718567,-0.1298850178718567,-64.35319519042969,-64.35319519042969,-44.068817138671875,-44.068817138671875,-29.068817138671875,-29.068817138671875,15.000000953674316,15.000000953674316,1.0,0.2,180.0
7,0.029166666666666667,0.39536687355990335,9.735326928893382,-350.1771647035572,0.39536687355990335,9.735326928893382,-350.1771647035572,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,9.735325813293457,9.735323905944824,9.73532772064209,9.735326766967773,0.4108457565307617,0.4120157063007355,0.24654442071914673,0.6327013373374939,0.0,0.0,0.0,0.0,nan,nan,1.5647834539413452,1.5647834539413452,3.1295669078826904,0.0,1.2828553915023804,0.6215708255767822,0.0,0.0,0.0,0.6215708255767822,0.0,1.2828553915023804,0.0,0.0,0.0,0.28406450152397156,0.3898179531097412,1.341423749923706,0.0,0.0,0.0,0.0,1.2828553915023804,0.6215708255767822,0.0,0.0,0.0,0.6215708255767822,0.0,1.2828553915023804,-0.0,-0.0,-0.0,0.28406453132629395,-0.3898181915283203,1.3414236307144165,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.055999964475631714,0.5999999642372131,0.5681290626525879,-2.384185791015625e-07,2.682847499847412,0.0,0.0,0.0,6.705522537231445e-08,3.6285507576394593e-07,1.862645149230957e-09,34.1369514465332,34.13694763183594,51.87004470825195,51.870033264160156,0.0,0.0,0.4920608103275299,0.4920608103275299,0.5079392194747925,0.5079392194747925,0.0,0.0,-3.412905693054199,-3.412905693054199,4.695760726928711,4.695760726928711,0.7572784423828125,0.7572784423828125,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.6215708255767822,0.6215708255767822,0.5631797313690186,0.5631797313690186,-0.36505556106567383,-0.36505556106567383,-0.10325616598129272,-0.10325616598129272,-56.234031677246094,-56.234031677246094,-39.40858459472656,-39.40858459472656,-24.40858268737793,-24.40858268737793,15.000000953674316,15.000000953674316,1.0,0.2,180.0
8,0.03333333333333333,0.432838061448871,8.234699068896894,-368.51491566882993,0.432838061448871,8.234699068896894,-368.51491566882993,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,8.234698295593262,8.234696388244629,8.234700202941895,8.234700202941895,0.4424610435962677,0.44357797503471375,-0.9038875102996826,-0.5407284498214722,0.0,0.0,0.0,0.0,nan,nan,-3.055727481842041,-3.055727481842041,-6.111454963684082,0.0,2.5377039909362793,0.3821795880794525,0.0,0.0,0.0,0.3821795880794525,0.0,2.5377039909362793,0.0,0.0,0.0,-0.2486744374036789,0.8611577749252319,2.4046976566314697,0.0,0.0,0.0,0.0,2.5377039909362793,0.3821795880794525,0.0,0.0,0.0,0.3821795880794525,0.0,2.5377039909362793,-0.0,-0.0,-0.0,-0.24867436289787292,-0.8611581921577454,2.4046974182128906,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.341104507446289e-07,0.05600002408027649,0.5999999642372131,-1.1175870895385742e-07,-0.055999934673309326,0.6000000238418579,-0.4973487854003906,-4.172325134277344e-07,4.809394836425781,0.0,0.0,0.0,2.8312206268310547e-07,8.210598707591998e-07,7.450580596923828e-09,31.69141387939453,31.69141387939453,48.118202209472656,48.118202209472656,0.0,0.0,0.5911480784416199,0.5911480784416199,0.4088520109653473,0.4088520109653473,0.0,0.0,-2.403960704803467,-2.403960704803467,4.941664695739746,4.941664695739746,0.51788729429245,0.51788729429245,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.3821795880794525,0.3821795880794525,0.5553808808326721,0.5553808808326721,-0.3353431522846222,-0.3353431522846222,-0.07354377210140228,-0.07354377210140228,-47.565982818603516,-47.565982818603516,-34.41666030883789,-34.41666030883789,-19.41666030883789,-19.41666030883789,15.000000953674316,15.000000953674316,1.0,0.2,180.0
9,0.0375,0.4639202242173095,6.67573247448437,-378.3103164631216,0.4639202242173095,6.67573247448437,-378.3103164631216,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.4200000000000001,2.0,0.0,4.0,4.761904761904761,3.4482758620689666,6.675732135772705,6.675731182098389,6.675732612609863,6.675732612609863,0.46773770451545715,0.46878933906555176,-2.010141611099243,-1.6737825870513916,0.0,0.0,0.0,0.0,nan,nan,-5.850618839263916,-5.850618839263916,-11.701237678527832,0.0,3.7286267280578613,0.19078387320041656,0.0,0.0,0.0,0.19078387320041656,0.0,3.7286267280578613,0.0,0.0,0.0,-0.7128760814666748,1.3736807107925415,3.3976263999938965,0.0,0.0,0.0,0.0,3.7286267280578613,0.19078387320041656,0.0,0.0,0.0,0.19078387320041656,0.0,3.7286267280578613,-0.0,-0.0,-0.0,-0.7128758430480957,-1.3736813068389893,3.3976261615753174,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-5.960464477539063e-08,0.05600002408027649,0.5999999642372131,-8.195638656616211e-08,-0.055999964475631714,0.6000000238418579,-1.4257519245147705,-5.960464477539062e-07,6.795252799987793,0.0,0.0,0.0,2.980232238769531e-07,8.272336344816722e-07,8.940696716308594e-08,28.94622230529785,28.94622230529785,43.56117630004883,43.56117630004883,0.0,0.0,0.7316272258758545,0.7316272258758545,0.26837289333343506,0.26837289333343506,0.0,0.0,-1.344390630722046,-1.344390630722046,5.073017597198486,5.073017597198486,0.3264915347099304,0.3264915347099304,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.19078387320041656,0.19078387320041656,0.5470589995384216,0.5470589995384216,-0.3033243417739868,-0.3033243417739868,-0.04152493178844452,-0.04152493178844452,-38.56093978881836,-38.56093978881836,-29.2164249420166,-29.2164249420166,-14.216423988342285,-14.216423988342285,15.000000953674316,15.000000953674316,1.0,0.2,180.0
