step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.5232,-0.0,-637.5033361296236,0.5232,-0.0,-637.5033361296236,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,0.0,0.0,0.0,0.0,0.5022503137588501,0.5029458999633789,-6.315181732177734,-6.128992080688477,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,11.500732421875,0.06988249719142914,0.0,0.0,0.0,0.06988249719142914,0.0,11.500732421875,0.0,0.0,0.0,-2.62990403175354,4.863026142120361,10.084954261779785,0.0,0.0,0.0,0.0,11.500732421875,0.06988249719142914,0.0,0.0,0.0,0.06988249719142914,0.0,11.500732421875,-0.0,-0.0,-0.0,-2.629903793334961,-4.863028526306152,10.084953308105469,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4156103134155273e-07,0.05600002408027649,0.5999999642372131,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,-5.259807586669922,-2.384185791015625e-06,20.169906616210938,0.0,0.0,0.0,1.1920928955078125e-06,3.0871660783304833e-06,-1.4901161193847656e-07,14.999977111816406,14.999977111816406,14.999977111816406,14.999977111816406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9520211219787598,2.9520211219787598,8.548711776733398,8.548711776733398,0.2055901736021042,0.2055901736021042,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.06988249719142914,0.06988249719142914,0.691959798336029,0.691959798336029,-0.16878323256969452,-0.16878323256969452,0.09301616996526718,0.09301616996526718,0.0,0.0,-7.275015354156494,-7.275015354156494,7.724985122680664,7.724985122680664,15.000000953674316,15.000000953674316,0.0,0.0,180.0
1,0.004166666666666667,0.5176758653055501,-2.6469087054566596,-630.7723455009134,0.5176758653055501,-2.6469087054566596,-630.7723455009134,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,2.6469082832336426,2.6469080448150635,2.646908760070801,2.646908760070801,0.48855870962142944,0.4890706539154053,-7.593165874481201,-7.475282192230225,0.0,0.0,0.0,0.0,nan,nan,12.642658233642578,12.642658233642578,25.285316467285156,0.0,13.245458602905273,0.33256828784942627,0.0,0.0,0.0,0.33256828784942627,0.0,13.245458602905273,0.0,0.0,0.0,-2.7933406829833984,5.534388542175293,11.70984935760498,0.0,0.0,0.0,0.0,13.245458602905273,0.33256828784942627,0.0,0.0,0.0,0.33256828784942627,0.0,13.245458602905273,-0.0,-0.0,-0.0,-2.7933402061462402,-5.534389972686768,11.709848403930664,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-4.470348358154297e-08,0.05600002408027649,0.5999999642372131,-8.195638656616211e-08,-0.055999964475631714,0.6000000238418579,-5.586680889129639,-1.430511474609375e-06,23.419696807861328,0.0,0.0,0.0,1.0728836059570312e-06,2.696606088647968e-06,4.023313522338867e-07,9.837364196777344,9.837366104125977,14.91560173034668,14.91560173034668,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7870073318481445,4.7870073318481445,8.458451271057129,8.458451271057129,0.46827593445777893,0.46827593445777893,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.33256828784942627,0.33256828784942627,0.691959798336029,0.691959798336029,-0.11177828907966614,-0.11177828907966614,0.15002112090587616,0.15002112090587616,15.289301872253418,15.289301872253418,1.5875861644744873,1.5875861644744873,16.58758544921875,16.58758544921875,15.000000953674316,15.000000953674316,0.0,0.0,180.0
2,0.008333333333333333,0.5012201128434638,-5.237923373402407,-610.7215100783153,0.5012201128434638,-5.237923373402407,-610.7215100783153,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,5.237922668457031,5.2379231452941895,5.237923622131348,5.237923622131348,0.46444183588027954,0.46476036310195923,-8.728170394897461,-8.681427001953125,0.0,0.0,0.0,0.0,nan,nan,28.685760498046875,28.685760498046875,57.37152099609375,0.0,14.880462646484375,0.7950931191444397,0.0,0.0,0.0,0.7950931191444397,0.0,14.880462646484375,0.0,0.0,0.0,-2.7570419311523438,5.994246006011963,13.36143970489502,0.0,0.0,0.0,0.0,14.880462646484375,0.7950931191444397,0.0,0.0,0.0,0.7950931191444397,0.0,14.880462646484375,-0.0,-0.0,-0.0,-2.7570419311523438,-5.994248867034912,13.361438751220703,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.05600005388259888,0.5999999642372131,2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,-5.5140838623046875,-2.86102294921875e-06,26.722877502441406,0.0,0.0,0.0,1.6093254089355469e-06,1.558039230076247e-06,-1.1920928955078125e-07,9.746590614318848,9.746593475341797,17.75428009033203,17.75428009033203,0.963154137134552,0.963154137134552,0.036845918744802475,0.036845918744802475,0.0,0.0,0.0,0.0,6.690886974334717,6.690886974334717,8.1895751953125,8.1895751953125,0.9308007955551147,0.9308007955551147,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.7950931191444397,0.7950931191444397,0.691959798336029,0.691959798336029,-0.05473746359348297,-0.05473746359348297,0.20706193149089813,0.20706193149089813,30.2557430267334,30.2557430267334,10.283476829528809,10.283476829528809,25.283477783203125,25.283477783203125,15.000000953674316,15.000000953674316,0.0,0.0,180.0
3,0.0125,0.47418023417757527,-7.718330265224756,-577.7742377961208,0.47418023417757527,-7.718330265224756,-577.7742377961208,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,7.718330383300781,7.718330383300781,7.718330383300781,7.718330383300781,0.43038591742515564,0.4305053651332855,-9.699953079223633,-9.72575855255127,0.0,0.0,0.0,0.0,nan,nan,47.416316986083984,47.416316986083984,94.83263397216797,0.0,16.40534019470215,1.4617459774017334,0.0,0.0,0.0,1.4617459774017334,0.0,16.40534019470215,0.0,0.0,0.0,-2.519155979156494,6.200122833251953,15.049392700195312,0.0,0.0,0.0,0.0,16.40534019470215,1.4617459774017334,0.0,0.0,0.0,1.4617459774017334,0.0,16.40534019470215,-0.0,-0.0,-0.0,-2.519155740737915,-6.200127124786377,15.049391746520996,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.0559999942779541,0.5999999642372131,7.450580596923828e-09,-0.055999964475631714,0.6000000238418579,-5.038311958312988,-4.291534423828125e-06,30.098785400390625,0.0,0.0,0.0,8.940696716308594e-07,2.8411946004780475e-06,-5.513429641723633e-07,12.875306129455566,12.875311851501465,29.536802291870117,29.536808013916016,0.7038754224777222,0.7038754224777222,0.296124666929245,0.296124666929245,0.0,0.0,0.0,0.0,8.657576560974121,8.657576560974121,7.747763633728027,7.747763633728027,1.5974537134170532,1.5974537134170532,0.0,0.0,-0.13570767641067505,-0.13570767641067505,1.4617459774017334,1.4617459774017334,0.691959798336029,0.691959798336029,0.0011347390245646238,0.0011347390245646238,0.262934148311615,0.262934148311615,44.58328628540039,44.58328628540039,18.629032135009766,18.629032135009766,33.629032135009766,33.629032135009766,15.000000953674316,15.000000953674316,0.0,0.0,180.0
4,0.016666666666666666,0.4371272229312484,-10.035751316063346,-532.6262670713849,0.4371272229312484,-10.035751316063346,-532.6262670713849,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,10.035751342773438,10.035751342773438,10.035751342773438,10.035751342773438,0.3870967924594879,0.38701555132865906,-10.490140914916992,-10.58841323852539,0.0,0.0,0.0,0.0,nan,nan,67.97039794921875,67.97039794921875,135.9407958984375,0.0,17.807357788085938,2.323866367340088,0.0,0.0,0.0,2.323866367340088,0.0,17.807357788085938,0.0,0.0,0.0,-2.0839645862579346,6.11462926864624,16.756216049194336,0.0,0.0,0.0,0.0,17.807357788085938,2.323866367340088,0.0,0.0,0.0,2.323866367340088,0.0,17.807357788085938,-0.0,-0.0,-0.0,-2.0839641094207764,-6.114633560180664,16.756214141845703,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-5.21540641784668e-08,0.05600005388259888,0.5999999642372131,-2.2351741790771484e-08,-0.055999934673309326,0.6000000238418579,-4.167928695678711,-4.291534423828125e-06,33.512428283691406,0.0,0.0,0.0,2.4437904357910156e-06,2.870771822927054e-06,9.685754776000977e-08,16.51071548461914,16.510717391967773,38.697914123535156,38.697914123535156,0.5486653447151184,0.5486653447151184,0.42170658707618713,0.42170658707618713,0.029628142714500427,0.029628142714500427,0.0,0.0,10.665014266967773,10.665014266967773,7.142343997955322,7.142343997955322,2.459573984146118,2.459573984146118,0.0,0.0,-0.13570767641067505,-0.13570767641067505,2.323866367340088,2.323866367340088,0.691959798336029,0.691959798336029,0.05465845391154289,0.05465845391154289,0.3164578676223755,0.3164578676223755,57.9693717956543,57.9693717956543,26.448015213012695,26.448015213012695,41.44801712036133,41.44801712036133,15.000000953674316,15.000000953674316,0.0,0.0,180.0
5,0.020833333333333332,0.39084351727328914,-12.14125018788842,-476.23097508860474,0.39084351727328914,-12.14125018788842,-476.23097508860474,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,12.14124870300293,12.141249656677246,12.141250610351562,12.141250610351562,0.3354873061180115,0.3352082371711731,-11.082237243652344,-11.251367568969727,0.0,0.0,0.0,0.0,nan,nan,89.26822662353516,89.26822662353516,178.5364532470703,0.0,19.05825424194336,3.353731155395508,0.0,0.0,0.0,3.353731155395508,0.0,19.05825424194336,0.0,0.0,0.0,-1.4666653871536255,5.708998203277588,18.431514739990234,0.0,0.0,0.0,0.0,19.05825424194336,3.353731155395508,0.0,0.0,0.0,3.353731155395508,0.0,19.05825424194336,-0.0,-0.0,-0.0,-1.4666659832000732,-5.709003925323486,18.431514739990234,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-08,0.05600002408027649,0.5999999642372131,-7.450580596923828e-08,-0.055999964475631714,0.6000000238418579,-2.9333314895629883,-5.7220458984375e-06,36.86302947998047,0.0,0.0,0.0,1.430511474609375e-06,4.48183573098504e-06,5.960464477539063e-08,19.82990074157715,19.82990264892578,45.419071197509766,45.4190673828125,0.4637744426727295,0.4637744426727295,0.3865077793598175,0.3865077793598175,0.14971785247325897,0.14971785247325897,0.0,0.0,12.67215347290039,12.67215347290039,6.386101722717285,6.386101722717285,3.489438533782959,3.489438533782959,0.0,0.0,-0.13570767641067505,-0.13570767641067505,3.353731155395508,3.353731155395508,0.691959798336029,0.691959798336029,0.10470347106456757,0.10470347106456757,0.36650288105010986,0.36650288105010986,70.13134002685547,70.13134002685547,33.57532501220703,33.57532501220703,48.57532501220703,48.57532501220703,15.000000953674316,15.000000953674316,0.0,0.0,180.0
6,0.025,0.33630647738799746,-13.990365644587694,-409.77924559795525,0.33630647738799746,-13.990365644587694,-409.77924559795525,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,13.990361213684082,13.990362167358398,13.990365982055664,13.990365982055664,0.2766578495502472,0.2761879563331604,-11.462035179138184,-11.698881149291992,0.0,0.0,0.0,0.0,nan,nan,109.98902130126953,109.98902130126953,219.97804260253906,0.0,20.11537742614746,4.500825881958008,0.0,0.0,0.0,4.500825881958008,0.0,20.11537742614746,0.0,0.0,0.0,-0.6973220109939575,4.970561504364014,19.992324829101562,0.0,0.0,0.0,0.0,20.11537742614746,4.500825881958008,0.0,0.0,0.0,4.500825881958008,0.0,20.11537742614746,-0.0,-0.0,-0.0,-0.6973219513893127,-4.970564365386963,19.992324829101562,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600005388259888,0.5999999642372131,-7.450580596923828e-08,-0.055999934673309326,0.6000000238418579,-1.394644021987915,-2.86102294921875e-06,39.984649658203125,0.0,0.0,0.0,2.6226043701171875e-06,5.1060142141068354e-06,1.1175870895385742e-08,22.600299835205078,22.600299835205078,50.25027847290039,50.25027847290039,0.40716320276260376,0.40716320276260376,0.3382165729999542,0.3382165729999542,0.2546203136444092,0.2546203136444092,0.0,0.0,14.620370864868164,14.620370864868164,5.4950056076049805,5.4950056076049805,4.636533737182617,4.636533737182617,0.0,0.0,-0.13570767641067505,-0.13570767641067505,4.500825881958008,4.500825881958008,0.691959798336029,0.691959798336029,0.15021295845508575,0.15021295845508575,0.41201239824295044,0.41201239824295044,80.81236267089844,80.81236267089844,39.86044692993164,39.86044692993164,54.860450744628906,54.860450744628906,15.000000953674316,15.000000953674316,0.0,0.0,180.0
7,0.029166666666666667,0.274667746831042,-15.54405042756638,-334.6743213532036,0.274667746831042,-15.54405042756638,-334.6743213532036,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,15.544047355651855,15.544050216674805,15.544051170349121,15.544051170349121,0.2118709832429886,0.21122106909751892,-11.61827564239502,-11.918207168579102,0.0,0.0,0.0,0.0,nan,nan,128.6204376220703,128.6204376220703,257.2408752441406,0.0,20.926124572753906,5.692455291748047,0.0,0.0,0.0,5.692455291748047,0.0,20.926124572753906,0.0,0.0,0.0,0.1778993457555771,3.9120125770568848,21.330055236816406,0.0,0.0,0.0,0.0,20.926124572753906,5.692455291748047,0.0,0.0,0.0,5.692455291748047,0.0,20.926124572753906,-0.0,-0.0,-0.0,0.17789964377880096,-3.912018299102783,21.330053329467773,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.6000000238418579,0.35579898953437805,-5.7220458984375e-06,42.66011047363281,0.0,0.0,0.0,1.430511474609375e-06,5.721166417060886e-06,-2.2817403078079224e-07,24.786113739013672,24.786117553710938,53.67427444458008,53.67427444458008,0.3787931799888611,0.3787931799888611,0.29708412289619446,0.29708412289619446,0.32412275671958923,0.32412275671958923,0.0,0.0,16.438251495361328,16.438251495361328,4.487873077392578,4.487873077392578,5.828163146972656,5.828163146972656,0.0,0.0,-0.13570767641067505,-0.13570767641067505,5.692455291748047,5.692455291748047,0.691959798336029,0.691959798336029,0.19022594392299652,0.19022594392299652,0.45202532410621643,0.45202532410621643,89.78688049316406,89.78688049316406,45.170654296875,45.170654296875,60.170654296875,60.170654296875,15.000000953674316,15.000000953674316,0.0,0.0,180.0
8,0.03333333333333333,0.207228933591687,-16.769495805884524,-252.50217222340348,0.207228933591687,-16.769495805884524,-252.50217222340348,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,16.76949691772461,16.769495010375977,16.769495010375977,16.769495010375977,0.14252080023288727,0.1417052000761032,-11.54349136352539,-11.900466918945312,0.0,0.0,0.0,0.0,nan,nan,143.58811950683594,143.58811950683594,287.1762390136719,0.0,21.434371948242188,6.839237213134766,0.0,0.0,0.0,6.839237213134766,0.0,21.434371948242188,0.0,0.0,0.0,1.0988811254501343,2.578965187072754,22.323728561401367,0.0,0.0,0.0,0.0,21.434371948242188,6.839237213134766,0.0,0.0,0.0,6.839237213134766,0.0,21.434371948242188,-0.0,-0.0,-0.0,1.0988812446594238,-2.5789706707000732,22.323728561401367,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-7.450580596923828e-09,0.056000083684921265,0.6000000238418579,-8.195638656616211e-08,-0.055999934673309326,0.6000000238418579,2.1977624893188477,-5.4836273193359375e-06,44.647457122802734,0.0,0.0,0.0,3.337860107421875e-06,3.991793619206874e-06,3.725290298461914e-08,26.418201446533203,26.418201446533203,56.0366096496582,56.0366096496582,0.35034558176994324,0.35034558176994324,0.2832493185997009,0.2832493185997009,0.366405189037323,0.366405189037323,0.0,0.0,18.04840087890625,18.04840087890625,3.3859715461730957,3.3859715461730957,6.974945068359375,6.974945068359375,0.0,0.0,-0.13570767641067505,-0.13570767641067505,6.839237213134766,6.839237213134766,0.691959798336029,0.691959798336029,0.22389745712280273,0.22389745712280273,0.48569685220718384,0.48569685220718384,96.86540222167969,96.86540222167969,49.39382553100586,49.39382553100586,64.3938217163086,64.3938217163086,15.000000953674316,15.000000953674316,0.0,0.0,180.0
9,0.0375,0.13541412439763909,-17.640824389134945,-164.99800470674074,0.13541412439763909,-17.640824389134945,-164.99800470674074,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.36000000000000004,0.0,0.0,4.0,5.5555555555555545,3.1250000000000004,17.640823364257812,17.640827178955078,17.640825271606445,17.640825271606445,0.0700996145606041,0.0691361054778099,-11.234795570373535,-11.641454696655273,0.0,0.0,0.0,0.0,nan,nan,153.44534301757812,153.44534301757812,306.89068603515625,0.0,21.58761978149414,7.844741344451904,0.0,0.0,0.0,7.844741344451904,0.0,21.58761978149414,0.0,0.0,0.0,1.996809720993042,1.0529804229736328,22.857587814331055,0.0,0.0,0.0,0.0,21.58761978149414,7.844741344451904,0.0,0.0,0.0,7.844741344451904,0.0,21.58761978149414,-0.0,-0.0,-0.0,1.996809720993042,-1.0529849529266357,22.857585906982422,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600002408027649,0.5999999642372131,6.705522537231445e-08,-0.055999964475631714,0.6000000238418579,3.993619441986084,-4.5299530029296875e-06,45.715171813964844,0.0,0.0,0.0,1.430511474609375e-06,1.9246085685153957e-06,-2.60770320892334e-07,27.547025680541992,27.547025680541992,57.56504821777344,57.56504821777344,0.3360842764377594,0.3360842764377594,0.26922154426574707,0.26922154426574707,0.3946942090988159,0.3946942090988159,0.0,0.0,19.375049591064453,19.375049591064453,2.212569236755371,2.212569236755371,7.9804487228393555,7.9804487228393555,0.0,0.0,-0.13570767641067505,-0.13570767641067505,7.844741344451904,7.844741344451904,0.691959798336029,0.691959798336029,0.25051653385162354,0.25051653385162354,0.5123159289360046,0.5123159289360046,101.89845275878906,101.89845275878906,52.4407844543457,52.4407844543457,67.44078063964844,67.44078063964844,15.000000953674316,15.000000953674316,0.0,0.0,180.0
