step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.5232,-0.0,-806.8401597890551,0.5232,-0.0,-806.8401597890551,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,0.0,0.0,0.0,0.0,0.5059283375740051,0.5065958499908447,-5.7256293296813965,-5.527692794799805,0.0,0.0,0.0,0.0,nan,nan,-6.727789878845215,-6.727789878845215,-13.45557975769043,0.0,6.063915252685547,-0.016849754378199577,0.0,0.0,0.0,-0.016849754378199577,0.0,6.063915252685547,0.0,0.0,0.0,-1.438518762588501,2.5640954971313477,5.303529739379883,0.0,0.0,0.0,0.0,6.063915252685547,-0.016849754378199577,0.0,0.0,0.0,-0.016849754378199577,0.0,6.063915252685547,-0.0,-0.0,-0.0,-1.4385185241699219,-2.564096689224243,5.303529262542725,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4156103134155273e-07,0.05600002408027649,0.5999999642372131,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,-2.877037286758423,-1.1920928955078125e-06,10.607059478759766,0.0,0.0,0.0,6.556510925292969e-07,1.6268029412458418e-06,-6.705522537231445e-08,14.999977111816406,14.999977111816406,14.999977111816406,14.999977111816406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2910568714141846,-1.2910568714141846,7.354971885681152,7.354971885681152,0.11885792016983032,0.11885792016983032,0.0,0.0,-0.13570767641067505,-0.13570767641067505,-0.016849754378199577,-0.016849754378199577,0.7784548401832581,0.7784548401832581,-0.30226030945777893,-0.30226030945777893,0.27797508239746094,0.27797508239746094,-0.711358368396759,-0.711358368396759,-7.781644821166992,-7.781644821166992,7.929714202880859,7.929714202880859,15.000000953674316,15.000000953674316,0.0,0.0,180.0
1,0.004166666666666667,0.5162117913468087,-3.3468529952773443,-796.0634637141694,0.5162117913468087,-3.3468529952773443,-796.0634637141694,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,3.3468527793884277,3.3468515872955322,3.346853017807007,3.346853256225586,0.48883116245269775,0.4892650246620178,-7.306534290313721,-7.194271564483643,-0.044422850012779236,-0.044422850012779236,0.0,0.0,nan,nan,3.475313663482666,3.475313663482666,6.950627326965332,0.0,7.947299480438232,0.1355638951063156,0.0,0.0,0.0,0.1355638951063156,0.0,7.947299480438232,0.0,0.0,0.0,-1.7390637397766113,3.3100662231445312,7.014062404632568,0.0,0.0,0.0,0.0,7.947299480438232,0.1355638951063156,0.0,0.0,0.0,0.1355638951063156,0.0,7.947299480438232,-0.0,-0.0,-0.0,-1.7390631437301636,-3.3100666999816895,7.01406192779541,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.05600002408027649,0.6000000238418579,-9.685754776000977e-08,-0.055999964475631714,0.5999999642372131,-3.4781270027160645,-4.76837158203125e-07,14.02812385559082,0.0,0.0,0.0,2.384185791015625e-07,1.671421387072769e-06,3.3527612686157227e-07,10.603983879089355,10.603979110717773,17.235919952392578,17.23590660095215,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.0,0.0,0.2719077467918396,0.2719077467918396,7.675392150878906,7.675392150878906,0.27613818645477295,0.27613818645477295,0.0,0.0,-0.14057430624961853,-0.14057430624961853,0.1355638951063156,0.1355638951063156,0.7784548401832581,0.7784548401832581,-0.25358206033706665,-0.25358206033706665,0.3224000334739685,0.3224000334739685,16.066211700439453,16.066211700439453,1.9466235637664795,1.9466235637664795,17.648481369018555,17.648481369018555,12.454758644104004,12.454758644104004,0.0,0.0,180.0
2,0.008333333333333333,0.4954338437518393,-6.604300382517394,-764.0212569909017,0.4954338437518393,-6.604300382517394,-764.0212569909017,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,6.604298114776611,6.604299068450928,6.6043009757995605,6.6043009757995605,0.45852330327033997,0.4587130546569824,-8.716665267944336,-8.693557739257812,-0.08765901625156403,-0.08765901625156403,0.0,0.0,nan,nan,18.936330795288086,18.936330795288086,37.87266159057617,0.0,9.855867385864258,0.5000253319740295,0.0,0.0,0.0,0.5000253319740295,0.0,9.855867385864258,0.0,0.0,0.0,-1.8576823472976685,3.9179399013519287,8.8649263381958,0.0,0.0,0.0,0.0,9.855867385864258,0.5000253319740295,0.0,0.0,0.0,0.5000253319740295,0.0,9.855867385864258,-0.0,-0.0,-0.0,-1.8576819896697998,-3.917941093444824,8.864925384521484,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-07,0.0559999942779541,0.5999999046325684,-1.043081283569336e-07,-0.055999934673309326,0.6000000238418579,-3.715364456176758,-1.1920928955078125e-06,17.72985076904297,0.0,0.0,0.0,1.043081283569336e-06,3.259699951740913e-06,-5.21540641784668e-08,11.196359634399414,11.196359634399414,19.664527893066406,19.664527893066406,0.775704026222229,0.775704026222229,0.224295973777771,0.224295973777771,0.0,0.0,0.0,0.0,2.1207163333892822,2.1207163333892822,7.735150337219238,7.735150337219238,0.6486172080039978,0.6486172080039978,0.0,0.0,-0.14859187602996826,-0.14859187602996826,0.5000253319740295,0.5000253319740295,0.7784548401832581,0.7784548401832581,-0.2011391520500183,-0.2011391520500183,0.36219683289527893,0.36219683289527893,32.305755615234375,32.305755615234375,11.397695541381836,11.397695541381836,27.07130241394043,27.07130241394043,9.977508544921875,9.977508544921875,0.0,0.0,180.0
3,0.0125,0.46142120550705934,-9.68532487571546,-711.5694938481922,0.46142120550705934,-9.68532487571546,-711.5694938481922,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,9.685324668884277,9.685324668884277,9.685325622558594,9.685325622558594,0.4157438576221466,0.41568610072135925,-9.929680824279785,-9.997062683105469,-0.12855352461338043,-0.12855352461338043,0.0,0.0,nan,nan,38.97785949707031,38.97785949707031,77.95571899414062,0.0,11.842852592468262,1.109507441520691,0.0,0.0,0.0,1.109507441520691,0.0,11.842852592468262,0.0,0.0,0.0,-1.7806651592254639,4.33555269241333,10.932354927062988,0.0,0.0,0.0,0.0,11.842852592468262,1.109507441520691,0.0,0.0,0.0,1.109507441520691,0.0,11.842852592468262,-0.0,-0.0,-0.0,-1.7806649208068848,-4.335554599761963,10.932353973388672,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.2351741790771484e-08,0.05600002408027649,0.5999999642372131,5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,-3.5613300800323486,-1.9073486328125e-06,21.864707946777344,0.0,0.0,0.0,1.0132789611816406e-06,7.577550604764838e-07,-2.0116567611694336e-07,14.073958396911621,14.073958396911621,30.2249813079834,30.2249813079834,0.5694624185562134,0.5694624185562134,0.4305376410484314,0.4305376410484314,0.0,0.0,0.0,0.0,4.2893829345703125,4.2893829345703125,7.553470134735107,7.553470134735107,1.2689359188079834,1.2689359188079834,0.0,0.0,-0.15942847728729248,-0.15942847728729248,1.109507441520691,1.109507441520691,0.7784548401832581,0.7784548401832581,-0.14675523340702057,-0.14675523340702057,0.3958796262741089,0.3958796262741089,47.490631103515625,47.490631103515625,20.268800735473633,20.268800735473633,35.89616394042969,35.89616394042969,7.634426116943359,7.634426116943359,0.0,0.0,180.0
4,0.016666666666666666,0.41508246764037426,-12.507622032883544,-640.1093358497608,0.41508246764037426,-12.507622032883544,-640.1093358497608,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,12.50761890411377,12.507620811462402,12.507621765136719,12.507621765136719,0.36159443855285645,0.3612928092479706,-10.919770240783691,-11.076681137084961,-0.1660139262676239,-0.1660139262676239,0.0,0.0,nan,nan,62.55088424682617,62.55088424682617,125.10176849365234,0.0,13.915328979492188,1.970310926437378,0.0,0.0,0.0,1.970310926437378,0.0,13.915328979492188,0.0,0.0,0.0,-1.5058289766311646,4.488953113555908,13.232545852661133,0.0,0.0,0.0,0.0,13.915328979492188,1.970310926437378,0.0,0.0,0.0,1.970310926437378,0.0,13.915328979492188,-0.0,-0.0,-0.0,-1.5058293342590332,-4.488955974578857,13.232544898986816,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-9.685754776000977e-08,0.05600002408027649,0.5999999642372131,-3.725290298461914e-08,-0.0559999942779541,0.6000000238418579,-3.011658191680908,-2.86102294921875e-06,26.465091705322266,0.0,0.0,0.0,7.152557373046875e-07,3.04745890389313e-06,-2.384185791015625e-07,16.86421012878418,16.86421012878418,37.06934356689453,37.0693359375,0.45786312222480774,0.45786312222480774,0.5299411416053772,0.5299411416053772,0.012195754796266556,0.012195754796266556,0.0,0.0,6.751101970672607,6.751101970672607,7.1642279624938965,7.1642279624938965,2.142754077911377,2.142754077911377,0.0,0.0,-0.17244309186935425,-0.17244309186935425,1.970310926437378,1.970310926437378,0.7784548401832581,0.7784548401832581,-0.09218823164701462,-0.09218823164701462,0.4222433865070343,0.4222433865070343,61.17803192138672,61.17803192138672,28.298168182373047,28.298168182373047,43.862525939941406,43.862525939941406,5.48810338973999,5.48810338973999,0.0,0.0,180.0
5,0.020833333333333332,0.3576554924183663,-14.995798882249469,-551.5497221947014,0.3576554924183663,-14.995798882249469,-551.5497221947014,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,14.995800971984863,14.995800018310547,14.99579906463623,14.99579906463623,0.29429003596305847,0.2937791645526886,-12.178479194641113,-12.431892395019531,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,119.6928939819336,119.6928939819336,239.3857879638672,0.0,20.794347763061523,3.621567487716675,0.0,0.0,0.0,3.621567487716675,0.0,20.794347763061523,0.0,0.0,0.0,-1.6873244047164917,5.56730842590332,20.289865493774414,0.0,0.0,0.0,0.0,20.794347763061523,3.621567487716675,0.0,0.0,0.0,3.621567487716675,0.0,20.794347763061523,-0.0,-0.0,-0.0,-1.6873236894607544,-5.567312717437744,20.28986358642578,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,2.2351741790771484e-08,0.05600002408027649,0.6000000238418579,3.725290298461914e-08,-0.055999934673309326,0.6000000238418579,-3.374648094177246,-4.291534423828125e-06,40.57972717285156,0.0,0.0,0.0,1.9073486328125e-06,6.046851126484398e-07,1.1175870895385742e-07,19.52133560180664,19.521337509155273,42.638458251953125,42.638458251953125,0.38765469193458557,0.38765469193458557,0.5094537734985352,0.5094537734985352,0.10289160162210464,0.10289160162210464,0.0,0.0,13.51060962677002,13.51060962677002,7.283738136291504,7.283738136291504,3.802168846130371,3.802168846130371,0.0,0.0,-0.18060126900672913,-0.18060126900672913,3.621567487716675,3.621567487716675,0.7784548401832581,0.7784548401832581,0.07566937804222107,0.07566937804222107,0.3374687731266022,0.3374687731266022,75.30406951904297,75.30406951904297,36.45870590209961,36.45870590209961,51.45870590209961,51.45870590209961,5.000000953674316,5.000000953674316,0.0,0.0,180.0
6,0.025,0.2906743459158559,-17.083387920031107,-448.25637558357846,0.2906743459158559,-17.083387920031107,-448.25637558357846,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,17.08338737487793,17.08338165283203,17.083389282226562,17.083389282226562,0.22253480553627014,0.22180236876010895,-12.565152168273926,-12.89741325378418,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,145.0832977294922,145.0832977294922,290.1665954589844,0.0,22.086332321166992,5.158716201782227,0.0,0.0,0.0,5.158716201782227,0.0,22.086332321166992,0.0,0.0,0.0,-0.6148192286491394,4.47565221786499,22.2263126373291,0.0,0.0,0.0,0.0,22.086332321166992,5.158716201782227,0.0,0.0,0.0,5.158716201782227,0.0,22.086332321166992,-0.0,-0.0,-0.0,-0.6148182153701782,-4.475656032562256,22.22631072998047,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-3.725290298461914e-08,0.05600002408027649,0.6000000238418579,-2.2351741790771484e-08,-0.055999964475631714,0.6000000238418579,-1.2296373844146729,-3.814697265625e-06,44.45262145996094,0.0,0.0,0.0,1.430511474609375e-06,3.3119786166935228e-06,2.9802322387695312e-08,21.78958511352539,21.789588928222656,46.69422912597656,46.69424057006836,0.34582775831222534,0.34582775831222534,0.45338863134384155,0.45338863134384155,0.20078371465206146,0.20078371465206146,0.0,0.0,16.16668128967285,16.16668128967285,5.919651031494141,5.919651031494141,5.344785690307617,5.344785690307617,0.0,0.0,-0.18606890738010406,-0.18606890738010406,5.158716201782227,5.158716201782227,0.7784548401832581,0.7784548401832581,0.12677446007728577,0.12677446007728577,0.3885738253593445,0.3885738253593445,87.17938995361328,87.17938995361328,43.4870491027832,43.4870491027832,58.48704528808594,58.48704528808594,5.000000953674316,5.000000953674316,0.0,0.0,180.0
7,0.029166666666666667,0.21592831799365933,-18.714622679186647,-332.9886058734441,0.21592831799365933,-18.714622679186647,-332.9886058734441,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,18.71462059020996,18.714616775512695,18.714622497558594,18.714622497558594,0.1447559893131256,0.14382216334342957,-12.62882137298584,-13.031296730041504,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,164.95343017578125,164.95343017578125,329.9068603515625,0.0,22.914447784423828,6.698744773864746,0.0,0.0,0.0,6.698744773864746,0.0,22.914447784423828,0.0,0.0,0.0,0.58931964635849,2.954831600189209,23.682626724243164,0.0,0.0,0.0,0.0,22.914447784423828,6.698744773864746,0.0,0.0,0.0,6.698744773864746,0.0,22.914447784423828,-0.0,-0.0,-0.0,0.5893192291259766,-2.95483660697937,23.68262481689453,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.2665987014770508e-07,0.05600002408027649,0.5999999642372131,-1.1175870895385742e-07,-0.055999934673309326,0.5999999642372131,1.1786389350891113,-5.0067901611328125e-06,47.36524963378906,0.0,0.0,0.0,2.1457672119140625e-06,7.693517545703799e-06,-1.1920928955078125e-07,23.480018615722656,23.480018615722656,49.35790252685547,49.35790252685547,0.3322926163673401,0.3322926163673401,0.39933454990386963,0.39933454990386963,0.26837289333343506,0.26837289333343506,0.0,0.0,18.517013549804688,18.517013549804688,4.397430896759033,4.397430896759033,6.889158248901367,6.889158248901367,0.0,0.0,-0.19041284918785095,-0.19041284918785095,6.698744773864746,6.698744773864746,0.7784548401832581,0.7784548401832581,0.1693846881389618,0.1693846881389618,0.4311841130256653,0.4311841130256653,96.45870971679688,96.45870971679688,49.03058624267578,49.03058624267578,64.03058624267578,64.03058624267578,5.000000953674316,5.000000953674316,0.0,0.0,180.0
8,0.03333333333333333,0.13541412439763886,-19.845927437776815,-208.8255997069685,0.13541412439763886,-19.845927437776815,-208.8255997069685,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,19.845924377441406,19.845930099487305,19.845928192138672,19.845928192138672,0.06308894604444504,0.06197885051369667,-12.358555793762207,-12.820551872253418,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,176.79312133789062,176.79312133789062,353.58624267578125,0.0,23.170827865600586,8.059921264648438,0.0,0.0,0.0,8.059921264648438,0.0,23.170827865600586,0.0,0.0,0.0,1.7953815460205078,1.1302045583724976,24.440719604492188,0.0,0.0,0.0,0.0,23.170827865600586,8.059921264648438,0.0,0.0,0.0,8.059921264648438,0.0,23.170827865600586,-0.0,-0.0,-0.0,1.7953810691833496,-1.1302095651626587,24.44072151184082,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-6.705522537231445e-08,0.05600002408027649,0.5999999642372131,6.705522537231445e-08,-0.055999964475631714,0.6000000238418579,3.5907626152038574,-5.0067901611328125e-06,48.881439208984375,0.0,0.0,0.0,1.430511474609375e-06,2.078157422147342e-06,-2.8312206268310547e-07,24.619102478027344,24.619102478027344,50.99652862548828,50.99652862548828,0.3039737343788147,0.3039737343788147,0.3999016284942627,0.3999016284942627,0.296124666929245,0.296124666929245,0.0,0.0,20.4130859375,20.4130859375,2.7577404975891113,2.7577404975891113,8.25338363647461,8.25338363647461,0.0,0.0,-0.1934623122215271,-0.1934623122215271,8.059921264648438,8.059921264648438,0.7784548401832581,0.7784548401832581,0.2023618370294571,0.2023618370294571,0.4641612768173218,0.4641612768173218,102.8941879272461,102.8941879272461,52.941246032714844,52.941246032714844,67.94124603271484,67.94124603271484,5.000000953674316,5.000000953674316,0.0,0.0,180.0
9,0.0375,0.05128256782042619,-20.447081271859037,-79.08416516556905,0.05128256782042619,-20.447081271859037,-79.08416516556905,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.32,0.0,0.0,4.0,6.25,2.9411764705882355,20.44707679748535,20.447072982788086,20.447080612182617,20.447080612182617,-0.02023344486951828,-0.021490423008799553,-11.753340721130371,-12.262442588806152,-0.1745329201221466,-0.1745329201221466,0.0,0.0,nan,nan,178.86215209960938,178.86215209960938,357.72430419921875,0.0,22.772308349609375,9.068441390991211,0.0,0.0,0.0,9.068441390991211,0.0,22.772308349609375,0.0,0.0,0.0,2.86922287940979,-0.8044905662536621,24.329715728759766,0.0,0.0,0.0,0.0,22.772308349609375,9.068441390991211,0.0,0.0,0.0,9.068441390991211,0.0,22.772308349609375,-0.0,-0.0,-0.0,2.8692219257354736,0.804485559463501,24.329713821411133,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.6000000238418579,-9.685754776000977e-08,-0.055999934673309326,0.5999999642372131,5.738444805145264,-5.0067901611328125e-06,48.65943145751953,0.0,0.0,0.0,2.384185791015625e-06,7.2610714596521575e-06,-2.980232238769531e-07,25.272306442260742,25.272308349609375,51.81734085083008,51.81733703613281,0.28979676961898804,0.28979676961898804,0.3860805332660675,0.3860805332660675,0.32412275671958923,0.32412275671958923,0.0,0.0,21.727924346923828,21.727924346923828,1.0443816184997559,1.0443816184997559,9.26353645324707,9.26353645324707,0.0,0.0,-0.195095032453537,-0.195095032453537,9.068441390991211,9.068441390991211,0.7784548401832581,0.7784548401832581,0.22482487559318542,0.22482487559318542,0.4866243004798889,0.4866243004798889,106.31385803222656,106.31385803222656,55.11454391479492,55.11454391479492,70.11454010009766,70.11454010009766,5.000000953674316,5.000000953674316,0.0,0.0,180.0
