amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.000000,0.300000,-0.251269,0.201889,0.527031,0.180587,-0.370157,2.324150,0.886620,0.008515,1.629923
0.000000,0.320000,-0.214432,0.169802,0.416118,0.142422,-0.328246,1.852417,0.719381,0.006785,2.561268
0.000000,0.340000,-0.183994,0.144780,0.325247,0.106586,-0.290493,1.446450,0.588560,0.005275,4.740335
0.000000,0.360000,-0.155208,0.122730,0.250705,0.076354,-0.256516,1.138512,0.471074,0.003983,6.087903
0.000000,0.380000,-0.128813,0.103301,0.189175,0.050760,-0.223806,0.878218,0.376875,0.002891,6.752242
0.000000,0.400000,-0.100227,0.077399,0.138621,0.033720,-0.177804,0.662399,0.289180,0.002042,2.491027
0.000000,0.420000,-0.077705,0.059694,0.096855,0.017459,-0.141038,0.486349,0.215865,0.001355,0.998792
0.000000,0.440000,-0.057118,0.044947,0.062673,0.005227,-0.108725,0.330425,0.153030,0.000793,1.542269
0.000000,0.460000,-0.037014,0.030483,0.035330,-0.001627,-0.075879,0.206695,0.094944,0.000382,1.541508
0.000000,0.480000,-0.020193,0.015040,0.014187,-0.005922,-0.033030,0.094574,0.043612,0.000119,1.025134
0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.520000,0.016223,-0.011826,-0.009237,0.007051,0.033132,-0.082628,-0.040745,0.000002,-0.258896
0.000000,0.540000,0.034882,-0.024624,-0.012336,0.022827,0.062689,-0.156048,-0.079342,0.000139,-1.050890
0.000000,0.560000,0.052471,-0.039364,-0.009678,0.043212,0.099601,-0.218540,-0.112415,0.000415,-2.407105
0.000000,0.580000,0.071150,-0.054141,-0.000559,0.070631,0.132848,-0.276196,-0.141397,0.000833,-4.384070
0.000000,0.600000,0.083053,-0.059828,0.015042,0.096641,0.154468,-0.188209,-0.168509,0.001314,-0.110740
0.000000,0.620000,0.105966,-0.077885,0.038845,0.139396,0.184555,-0.061686,-0.194523,0.001992,-1.883619
0.000000,0.640000,0.131526,-0.095346,0.071308,0.189333,0.206608,0.102503,-0.218587,0.002832,-4.439280
0.000000,0.660000,0.156233,-0.117009,0.113763,0.242417,0.240831,0.300476,-0.167898,0.003848,-7.953864
0.000000,0.680000,0.184722,-0.140973,0.169094,0.302641,0.270505,0.546212,-0.096299,0.005061,-12.682286
0.000000,0.700000,0.195979,-0.143295,0.239766,0.351473,0.276775,0.883577,-0.009152,0.006340,-0.596884
