step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.5232,-0.0,-214.933486894899,0.5232,-0.0,-214.933486894899,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,0.0,0.0,0.0,0.0,0.5068917274475098,0.5075518488883972,-5.571208953857422,-5.370195388793945,0.0,0.0,0.0,0.0,nan,nan,-1.070354700088501,-1.070354700088501,-2.140709400177002,0.0,4.639862060546875,0.13365709781646729,0.0,0.0,0.0,0.13365709781646729,0.0,4.639862060546875,0.0,0.0,0.0,-0.9591399431228638,1.9619419574737549,4.095975875854492,0.0,0.0,0.0,0.0,4.639862060546875,0.13365709781646729,0.0,0.0,0.0,0.13365709781646729,0.0,4.639862060546875,-0.0,-0.0,-0.0,-0.9591397643089294,-1.9619427919387817,4.095975399017334,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4156103134155273e-07,0.05600002408027649,0.5999999642372131,-5.960464477539063e-08,-0.055999934673309326,0.6000000238418579,-1.9182796478271484,-8.344650268554688e-07,8.191951751708984,0.0,0.0,0.0,5.21540641784668e-07,1.2473476544982987e-06,-6.332993507385254e-08,14.999977111816406,14.999977111816406,14.999977111816406,14.999977111816406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.680577278137207,2.680577278137207,1.9592849016189575,1.9592849016189575,0.26936477422714233,0.26936477422714233,0.0,0.0,-0.13570767641067505,-0.13570767641067505,0.13365709781646729,0.13365709781646729,0.40178313851356506,0.40178313851356506,-0.17773406207561493,-0.17773406207561493,0.1688932478427887,0.1688932478427887,-0.1894981563091278,-0.1894981563091278,-6.700872898101807,-6.700872898101807,8.488625526428223,8.488625526428223,15.000000953674316,15.000000953674316,0.0,0.0,180.0
1,0.004166666666666667,0.5213353665418425,-0.8944920509406774,-214.16748503912171,0.5213353665418425,-0.8944920509406774,-214.16748503912171,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,0.8944920897483826,0.8944917321205139,0.8944920301437378,0.8944920301437378,0.5023317933082581,0.5029293894767761,-5.992716312408447,-5.814578533172607,-0.011872611939907074,-0.011872611939907074,0.0,0.0,nan,nan,0.4695691764354706,0.4695691764354706,0.9391383528709412,0.0,5.133632659912109,0.19817882776260376,0.0,0.0,0.0,0.19817882776260376,0.0,5.133632659912109,0.0,0.0,0.0,-1.0136722326278687,2.162052631378174,4.548786163330078,0.0,0.0,0.0,0.0,5.133632659912109,0.19817882776260376,0.0,0.0,0.0,0.19817882776260376,0.0,5.133632659912109,-0.0,-0.0,-0.0,-1.013671875,-2.162053108215332,4.54878568649292,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.4901161193847656e-08,0.05600005388259888,0.5999999642372131,-1.2665987014770508e-07,-0.055999964475631714,0.6000000238418579,-2.027344226837158,-4.76837158203125e-07,9.097572326660156,0.0,0.0,0.0,5.662441253662109e-07,1.1110435025329934e-06,3.46451997756958e-07,13.625429153442383,13.625428199768066,15.590808868408203,15.590808868408203,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.0,0.0,3.1498818397521973,3.1498818397521973,1.983750820159912,1.983750820159912,0.33486542105674744,0.33486542105674744,0.0,0.0,-0.13668659329414368,-0.13668659329414368,0.19817882776260376,0.19817882776260376,0.40178313851356506,0.40178313851356506,-0.16350428760051727,-0.16350428760051727,0.18282067775726318,0.18282067775726318,4.297403335571289,4.297403335571289,-4.100402355194092,-4.100402355194092,11.088420867919922,11.088420867919922,14.31974983215332,14.31974983215332,0.0,0.0,180.0
2,0.008333333333333333,0.5157547569087053,-1.7826083380960343,-211.87493938268167,0.5157547569087053,-1.7826083380960343,-211.87493938268167,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,1.7826080322265625,1.7826080322265625,1.7826083898544312,1.7826083898544312,0.49418747425079346,0.4947184920310974,-6.372107028961182,-6.218123912811279,-0.023660598322749138,-0.023660598322749138,0.0,0.0,nan,nan,2.3664698600769043,2.3664698600769043,4.732939720153809,0.0,5.599644660949707,0.27091991901397705,0.0,0.0,0.0,0.27091991901397705,0.0,5.599644660949707,0.0,0.0,0.0,-1.0561892986297607,2.329936981201172,4.9885149002075195,0.0,0.0,0.0,0.0,5.599644660949707,0.27091991901397705,0.0,0.0,0.0,0.27091991901397705,0.0,5.599644660949707,-0.0,-0.0,-0.0,-1.0561892986297607,-2.3299384117126465,4.988513946533203,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.341104507446289e-07,0.0559999942779541,0.5999999642372131,-1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,-2.1123785972595215,-1.430511474609375e-06,9.977028846740723,0.0,0.0,0.0,5.066394805908203e-07,1.2523083796622814e-06,-2.1606683731079102e-07,12.312945365905762,12.312945365905762,16.184478759765625,16.184478759765625,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.012195754796266556,0.012195754796266556,3.642737865447998,3.642737865447998,1.9929015636444092,1.9929015636444092,0.4181351661682129,0.4181351661682129,0.0,0.0,-0.1378888338804245,-0.1378888338804245,0.27091991901397705,0.27091991901397705,0.40178313851356506,0.40178313851356506,-0.14888796210289001,-0.14888796210289001,0.1965322047472,0.1965322047472,8.751518249511719,8.751518249511719,-1.51677668094635,-1.51677668094635,13.670024871826172,13.670024871826172,13.64434814453125,13.64434814453125,0.0,0.0,180.0
3,0.0125,0.5064979485907981,-2.658018542873699,-208.0721907410809,0.5064979485907981,-2.658018542873699,-208.0721907410809,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,2.6580183506011963,2.6580183506011963,2.6580188274383545,2.6580188274383545,0.4833332598209381,0.48378753662109375,-6.5758280754089355,-6.44450569152832,-0.035279933363199234,-0.035279933363199234,0.0,0.0,nan,nan,3.065157413482666,3.065157413482666,6.130314826965332,0.0,4.827912330627441,0.13729152083396912,0.0,0.0,0.0,0.13729152083396912,0.0,4.827912330627441,0.0,0.0,0.0,-1.0084012746810913,1.9681051969528198,4.293864727020264,0.0,0.0,0.0,0.0,4.827912330627441,0.13729152083396912,0.0,0.0,0.0,0.13729152083396912,0.0,4.827912330627441,-0.0,-0.0,-0.0,-1.0084012746810913,-1.9681062698364258,4.2938642501831055,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-8.940696716308594e-08,0.05600002408027649,0.5999999642372131,-7.450580596923828e-08,-0.055999964475631714,0.6000000238418579,-2.0168025493621826,-1.0728836059570312e-06,8.587728500366211,0.0,0.0,0.0,4.023313522338867e-07,1.1478259693831205e-06,2.9802322387695312e-08,11.17389965057373,11.173898696899414,16.778446197509766,16.778446197509766,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.4937935173511505,0.4937935173511505,4.157993316650391,4.157993316650391,1.986785888671875,1.986785888671875,0.5196588039398193,0.5196588039398193,0.0,0.0,-0.13930146396160126,-0.13930146396160126,0.13729152083396912,0.13729152083396912,0.40178313851356506,0.40178313851356506,-0.13399872183799744,-0.13399872183799744,0.20992061495780945,0.20992061495780945,13.139081001281738,13.139081001281738,1.030407428741455,1.030407428741455,16.213857650756836,16.213857650756836,12.978609085083008,12.978609085083008,0.0,0.0,180.0
4,0.016666666666666666,0.49363092230106165,-3.5144829131427797,-202.7863443603061,0.49363092230106165,-3.5144829131427797,-202.7863443603061,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,3.514482021331787,3.514482259750366,3.5144832134246826,3.5144832134246826,0.46844401955604553,0.46882280707359314,-6.827268600463867,-6.721424102783203,-0.0466478057205677,-0.0466478057205677,0.0,0.0,nan,nan,4.665761947631836,4.665761947631836,9.331523895263672,0.0,4.897330284118652,0.09380882978439331,0.0,0.0,0.0,0.09380882978439331,0.0,4.897330284118652,0.0,0.0,0.0,-1.0733610391616821,1.938698649406433,4.368293285369873,0.0,0.0,0.0,0.0,4.897330284118652,0.09380882978439331,0.0,0.0,0.0,0.09380882978439331,0.0,4.897330284118652,-0.0,-0.0,-0.0,-1.0733606815338135,-1.938699722290039,4.368293285369873,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1920928955078125e-07,0.05600005388259888,0.5999999642372131,0.0,-0.055999964475631714,0.6000000238418579,-2.146721839904785,-1.0728836059570312e-06,8.736586570739746,0.0,0.0,0.0,5.066394805908203e-07,9.752743608260062e-07,-1.1548399925231934e-07,10.379197120666504,10.379196166992188,17.369518280029297,17.369518280029297,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.6354192495346069,0.6354192495346069,4.69386100769043,4.69386100769043,1.9656298160552979,1.9656298160552979,0.6395217180252075,0.6395217180252075,0.0,0.0,-0.14090581238269806,-0.14090581238269806,0.09380882978439331,0.09380882978439331,0.40178313851356506,0.40178313851356506,-0.11895192414522171,-0.11895192414522171,0.2228812724351883,0.2228812724351883,17.427064895629883,17.427064895629883,3.521958827972412,3.521958827972412,18.700748443603516,18.700748443603516,12.327278137207031,12.327278137207031,0.0,0.0,180.0
5,0.020833333333333332,0.47724539167759555,-4.345896738962439,-196.05507671595456,0.47724539167759555,-4.345896738962439,-196.05507671595456,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,4.345895767211914,4.345895290374756,4.345897197723389,4.345897197723389,0.45007064938545227,0.4503724277019501,-7.053287982940674,-6.9741435050964355,-0.057683177292346954,-0.057683177292346954,0.0,0.0,nan,nan,6.627532958984375,6.627532958984375,13.25506591796875,0.0,5.149430751800537,0.07482733577489853,0.0,0.0,0.0,0.07482733577489853,0.0,5.149430751800537,0.0,0.0,0.0,-1.160094141960144,1.9607441425323486,4.61864709854126,0.0,0.0,0.0,0.0,5.149430751800537,0.07482733577489853,0.0,0.0,0.0,0.07482733577489853,0.0,5.149430751800537,-0.0,-0.0,-0.0,-1.160093903541565,-1.9607447385787964,4.618646621704102,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1175870895385742e-07,0.0559999942779541,0.5999999642372131,-1.2665987014770508e-07,-0.05599990487098694,0.6000000238418579,-2.320188045501709,-5.960464477539062e-07,9.237293243408203,0.0,0.0,0.0,5.662441253662109e-07,1.5832574717933312e-06,1.4156103134155273e-07,10.016142845153809,10.016144752502441,17.953876495361328,17.953876495361328,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.6925286650657654,0.6925286650657654,5.247796058654785,5.247796058654785,1.9298220872879028,1.9298220872879028,0.7773236036300659,0.7773236036300659,0.0,0.0,-0.14267747104167938,-0.14267747104167938,0.07482733577489853,0.07482733577489853,0.40178313851356506,0.40178313851356506,-0.10386316478252411,-0.10386316478252411,0.23531337082386017,0.23531337082386017,21.58353614807129,21.58353614807129,5.939296245574951,5.939296245574951,21.112150192260742,21.112150192260742,11.694998741149902,11.694998741149902,0.0,0.0,180.0
6,0.025,0.4574581495668454,-5.146333865756234,-187.92636696271086,0.4574581495668454,-5.146333865756234,-187.92636696271086,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,5.146333694458008,5.146332740783691,5.146333694458008,5.146333694458008,0.42840802669525146,0.4286311864852905,-7.242059707641602,-7.190436840057373,-0.06830739974975586,-0.06830739974975586,0.0,0.0,nan,nan,8.87807846069336,8.87807846069336,17.75615692138672,0.0,5.488111972808838,0.06992006301879883,0.0,0.0,0.0,0.06992006301879883,0.0,5.488111972808838,0.0,0.0,0.0,-1.2563319206237793,1.9888890981674194,4.9588518142700195,0.0,0.0,0.0,0.0,5.488111972808838,0.06992006301879883,0.0,0.0,0.0,0.06992006301879883,0.0,5.488111972808838,-0.0,-0.0,-0.0,-1.2563316822052002,-1.9888899326324463,4.958851337432861,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,-5.960464477539063e-08,-0.055999964475631714,0.6000000238418579,-2.5126636028289795,-8.344650268554688e-07,9.917703628540039,0.0,0.0,0.0,4.470348358154297e-07,9.615949920771527e-07,1.4901161193847656e-07,10.007535934448242,10.007535934448242,18.527177810668945,18.527177810668945,0.8378353118896484,0.8378353118896484,0.16216474771499634,0.16216474771499634,0.0,0.0,0.7068858742713928,0.7068858742713928,5.8164215087890625,5.8164215087890625,1.8798973560333252,1.8798973560333252,0.9320997595787048,0.9320997595787048,0.0,0.0,-0.14458659291267395,-0.14458659291267395,0.06992006301879883,0.06992006301879883,0.40178313851356506,0.40178313851356506,-0.08884704858064651,-0.08884704858064651,0.24712134897708893,0.24712134897708893,25.577959060668945,25.577959060668945,8.264631271362305,8.264631271362305,23.43031883239746,23.43031883239746,11.086275100708008,11.086275100708008,0.0,0.0,180.0
7,0.029166666666666667,0.4344102355471154,-5.910088934778857,-178.45815494834847,0.4344102355471154,-5.910088934778857,-178.45815494834847,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,5.910089492797852,5.910086631774902,5.910089015960693,5.910089015960693,0.4036675691604614,0.4038107991218567,-7.383096694946289,-7.359443187713623,-0.07844473421573639,-0.07844473421573639,0.0,0.0,nan,nan,11.319646835327148,11.319646835327148,22.639293670654297,0.0,5.826581954956055,0.06449681520462036,0.0,0.0,0.0,0.06449681520462036,0.0,5.826581954956055,0.0,0.0,0.0,-1.3554394245147705,1.9858375787734985,5.307772636413574,0.0,0.0,0.0,0.0,5.826581954956055,0.06449681520462036,0.0,0.0,0.0,0.06449681520462036,0.0,5.826581954956055,-0.0,-0.0,-0.0,-1.3554391860961914,-1.9858380556106567,5.307772636413574,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,7.450580596923828e-09,0.05600002408027649,0.5999999642372131,-1.341104507446289e-07,-0.055999934673309326,0.6000000238418579,-2.710878610610962,-4.76837158203125e-07,10.615545272827148,0.0,0.0,0.0,5.960464477539062e-07,1.2276241250219755e-06,4.172325134277344e-07,10.229063987731934,10.22906494140625,19.084609985351562,19.084609985351562,0.829892635345459,0.829892635345459,0.17010733485221863,0.17010733485221863,0.0,0.0,0.7212798595428467,0.7212798595428467,6.395511627197266,6.395511627197266,1.816514253616333,1.816514253616333,1.102262020111084,1.102262020111084,0.0,0.0,-0.1465984582901001,-0.1465984582901001,0.06449681520462036,0.06449681520462036,0.40178313851356506,0.40178313851356506,-0.07401575148105621,-0.07401575148105621,0.2582158148288727,0.2582158148288727,29.381492614746094,29.381492614746094,10.481142044067383,10.481142044067383,25.63848114013672,25.63848114013672,10.505448341369629,10.505448341369629,0.0,0.0,180.0
8,0.03333333333333333,0.40826593062613453,-6.63171804979355,-167.71792822986626,0.40826593062613453,-6.63171804979355,-167.71792822986626,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,6.631718158721924,6.631717681884766,6.631718158721924,6.631718158721924,0.37602660059928894,0.37608903646469116,-7.475232124328613,-7.479783535003662,-0.08802293241024017,-0.08802293241024017,0.0,0.0,nan,nan,13.912257194519043,13.912257194519043,27.824514389038086,0.0,6.160821914672852,0.05868438631296158,0.0,0.0,0.0,0.05868438631296158,0.0,6.160821914672852,0.0,0.0,0.0,-1.4560762643814087,1.9476280212402344,5.660897254943848,0.0,0.0,0.0,0.0,6.160821914672852,0.05868438631296158,0.0,0.0,0.0,0.05868438631296158,0.0,6.160821914672852,-0.0,-0.0,-0.0,-1.4560762643814087,-1.9476293325424194,5.6608967781066895,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-5.21540641784668e-08,0.05600002408027649,0.5999999642372131,-3.725290298461914e-08,-0.055999964475631714,0.6000000238418579,-2.9121525287628174,-1.3113021850585938e-06,11.321794509887695,0.0,0.0,0.0,4.76837158203125e-07,1.0990362397933495e-06,5.960464477539063e-08,10.579466819763184,10.579468727111816,19.62091636657715,19.62091636657715,0.7931390404701233,0.7931390404701233,0.2068610042333603,0.2068610042333603,0.0,0.0,0.7357125878334045,0.7357125878334045,6.980020999908447,6.980020999908447,1.740429401397705,1.740429401397705,1.2855665683746338,1.2855665683746338,0.0,0.0,-0.148673877120018,-0.148673877120018,0.05868438631296158,0.05868438631296158,0.40178313851356506,0.40178313851356506,-0.05947808921337128,-0.05947808921337128,0.26851463317871094,0.26851463317871094,32.967185974121094,32.967185974121094,12.57308578491211,12.57308578491211,27.720956802368164,27.720956802368164,9.956658363342285,9.956658363342285,0.0,0.0,180.0
9,0.0375,0.37921158627827567,-7.306077580096042,-155.78224103542743,0.37921158627827567,-7.306077580096042,-155.78224103542743,6.9,-6.900000095367432,0.0,0.0,15.0,1,0.6200000000000002,0.0,0.0,4.0,3.225806451612902,5.263157894736845,7.306076526641846,7.3060784339904785,7.30607795715332,7.30607795715332,0.34566307067871094,0.3456445634365082,-7.520866394042969,-7.553725719451904,-0.096973717212677,-0.096973717212677,0.0,0.0,nan,nan,16.641469955444336,16.641469955444336,33.28293991088867,0.0,6.516576766967773,0.058797791600227356,0.0,0.0,0.0,0.058797791600227356,0.0,6.516576766967773,0.0,0.0,0.0,-1.558134913444519,1.87962007522583,6.042224407196045,0.0,0.0,0.0,0.0,6.516576766967773,0.058797791600227356,0.0,0.0,0.0,0.058797791600227356,0.0,6.516576766967773,-0.0,-0.0,-0.0,-1.5581350326538086,-1.8796213865280151,6.042223930358887,0.0,0.0,0.0,4.470348358154297e-08,0.0,0.6000000238418579,-1.1175870895385742e-07,0.0559999942779541,0.5999999642372131,8.940696716308594e-08,-0.055999964475631714,0.6000000834465027,-3.116270065307617,-1.3113021850585938e-06,12.084447860717773,0.0,0.0,0.0,4.172325134277344e-07,6.752712238267122e-07,-3.3527612686157227e-07,10.988615036010742,10.988615989685059,21.628416061401367,21.628416061401367,0.7457817196846008,0.7457817196846008,0.25421836972236633,0.25421836972236633,0.0,0.0,0.7357125878334045,0.7357125878334045,7.564175605773926,7.564175605773926,1.6524752378463745,1.6524752378463745,1.4791197776794434,1.4791197776794434,0.0,0.0,-0.15077006816864014,-0.15077006816864014,0.058797791600227356,0.058797791600227356,0.40178313851356506,0.40178313851356506,-0.04533839598298073,-0.04533839598298073,0.2779436409473419,0.2779436409473419,36.3101806640625,36.3101806640625,14.525925636291504,14.525925636291504,29.663272857666016,29.663272857666016,9.443816184997559,9.443816184997559,0.0,0.0,180.0
