amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.000000,0.300000,-0.234040,0.212296,0.561822,0.209871,-0.372861,2.460336,0.945938,0.023251,0.983477
0.000000,0.320000,-0.204569,0.190268,0.453953,0.171522,-0.333841,1.948684,0.771028,0.019557,7.859825
0.000000,0.340000,-0.175933,0.157729,0.353349,0.131094,-0.287661,1.509396,0.622541,0.016488,5.912293
0.000000,0.360000,-0.133266,0.115069,0.253143,0.095661,-0.237529,1.185267,0.494161,0.013459,1.346690
0.000000,0.380000,-0.112033,0.096819,0.193244,0.068059,-0.198973,0.906194,0.387277,0.010647,4.947357
0.000000,0.400000,-0.087655,0.076668,0.142216,0.047768,-0.158918,0.681003,0.296340,0.008211,2.375231
0.000000,0.420000,-0.061962,0.053760,0.095849,0.030924,-0.125242,0.492562,0.216358,0.006436,-3.968424
0.000000,0.440000,-0.037679,0.031071,0.054545,0.015994,-0.085702,0.330688,0.143354,0.004308,-3.543364
0.000000,0.460000,-0.021454,0.016973,0.028647,0.006993,-0.054613,0.200523,0.081805,0.002726,-4.205614
0.000000,0.480000,-0.005426,0.002752,0.009038,0.003579,-0.021515,0.081675,0.028892,0.001492,-6.294179
0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.520000,0.005988,-0.003657,-0.013627,-0.007745,0.024423,-0.075722,-0.037446,-0.000128,6.487895
0.000000,0.540000,0.025396,-0.017077,-0.015959,0.009590,0.044855,-0.148428,-0.073695,0.000120,3.201585
0.000000,0.560000,0.044356,-0.028483,-0.010895,0.033829,0.053138,-0.209075,-0.104953,0.000602,-0.304752
0.000000,0.580000,0.048947,-0.027798,-0.008688,0.040613,0.059467,-0.264943,-0.134148,0.001363,2.017982
0.000000,0.600000,0.072037,-0.046681,0.011987,0.083029,0.089285,-0.257839,-0.157344,0.002107,-0.042318
0.000000,0.620000,0.095049,-0.062147,0.038973,0.128994,0.112582,-0.121285,-0.183127,0.003310,-2.140837
0.000000,0.640000,0.121092,-0.080349,0.077528,0.184329,0.133725,0.044518,-0.202950,0.004792,-4.578979
0.000000,0.660000,0.130276,-0.083438,0.110543,0.216848,0.156594,0.248465,-0.222791,0.006626,-4.328475
0.000000,0.680000,0.172821,-0.109503,0.174361,0.295635,0.177934,0.521175,-0.208284,0.008801,-16.577576
0.000000,0.700000,0.189139,-0.127341,0.259639,0.356275,0.193086,0.871775,-0.074218,0.010902,0.050769
