step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
0,0.0,0.0,11.177032679235625,-0.0,0.0,11.177032679235625,-0.0,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,11.177032470703125,11.177031517028809,11.177032470703125,11.177032470703125,0.03246339038014412,0.03322978317737579,5.203643321990967,5.4743332862854,0.1483529806137085,0.1483529806137085,0.0,0.0,nan,nan,17.343448638916016,17.343448638916016,34.68689727783203,0.0,-3.063018798828125,0.3899293541908264,0.0,0.0,0.0,0.3899293541908264,0.0,-3.063018798828125,0.0,0.0,0.0,0.9650258421897888,0.2649785578250885,-2.9210684299468994,0.0,0.0,0.0,0.0,-3.063018798828125,0.3899293541908264,0.0,0.0,0.0,0.3899293541908264,0.0,-3.063018798828125,-0.0,-0.0,-0.0,0.9650258421897888,-0.26497790217399597,-2.9210684299468994,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-2.9802322387695312e-08,0.05600002408027649,0.5999999642372131,-1.4901161193847656e-08,-0.055999934673309326,0.6000000238418579,1.9300516843795776,6.556510925292969e-07,-5.842136859893799,0.0,0.0,0.0,-2.384185791015625e-07,-5.363204422792478e-07,-8.940696716308594e-08,30.64398956298828,30.64398956298828,52.143524169921875,52.143524169921875,0.17686083912849426,0.17686083912849426,0.37180447578430176,0.37180447578430176,0.45133471488952637,0.45133471488952637,0.0920536071062088,0.0920536071062088,-2.8920183181762695,-2.8920183181762695,-0.44497931003570557,-0.44497931003570557,0.8254748582839966,0.8254748582839966,0.0,0.0,-0.08355149626731873,-0.08355149626731873,0.3899293541908264,0.3899293541908264,0.5844016075134277,0.5844016075134277,-0.3320639729499817,-0.3320639729499817,-0.14007775485515594,-0.14007775485515594,-79.61656188964844,-79.61656188964844,-50.73249053955078,-50.73249053955078,-39.73249053955078,-39.73249053955078,19.5,19.5,0.0,0.0,180.0
1,0.004166666666666667,0.04650949612052221,11.13278353795684,-21.22556234838836,0.04650949612052221,11.13278353795684,-21.22556234838836,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,11.132780075073242,11.132784843444824,11.132782936096191,11.132783889770508,0.07761611044406891,0.0784364566206932,4.723294258117676,5.011481761932373,0.14776566624641418,0.14776566624641418,0.0,0.0,nan,nan,16.89236068725586,16.89236068725586,33.78472137451172,0.0,-2.996345281600952,0.4062900245189667,0.0,0.0,0.0,0.4062900245189667,0.0,-2.996345281600952,0.0,0.0,0.0,0.9700953364372253,0.12014457583427429,-2.8614046573638916,0.0,0.0,0.0,0.0,-2.996345281600952,0.4062900245189667,0.0,0.0,0.0,0.4062900245189667,0.0,-2.996345281600952,-0.0,-0.0,-0.0,0.9700953960418701,-0.12014395743608475,-2.8614046573638916,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-6.705522537231445e-08,0.05600005388259888,0.5999999642372131,7.450580596923828e-09,-0.0559999942779541,0.6000000238418579,1.9401907920837402,6.183981895446777e-07,-5.722809314727783,0.0,0.0,0.0,-1.6391277313232422e-07,-5.694811875400774e-07,-5.960464477539063e-08,30.61049461364746,30.61050033569336,52.09731674194336,52.097320556640625,0.17686083912849426,0.17686083912849426,0.37180447578430176,0.37180447578430176,0.45133471488952637,0.45133471488952637,0.0920536071062088,0.0920536071062088,-3.040421485900879,-3.040421485900879,-0.23392750322818756,-0.23392750322818756,0.849877119064331,0.849877119064331,0.0,0.0,-0.08345089107751846,-0.08345089107751846,0.4062900245189667,0.4062900245189667,0.5844016075134277,0.5844016075134277,-0.34009987115859985,-0.34009987115859985,-0.13655327260494232,-0.13655327260494232,-79.33487701416016,-79.33487701416016,-50.6229362487793,-50.6229362487793,-39.597110748291016,-39.597110748291016,19.466350555419922,19.466350555419922,0.0,0.0,180.0
2,0.008333333333333333,0.092650736135206,11.00038647303239,-42.28306347086292,0.092650736135206,11.00038647303239,-42.28306347086292,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,11.000387191772461,11.000386238098145,11.000386238098145,11.000386238098145,0.12213914841413498,0.12300708889961243,4.203117847442627,4.506485462188721,0.14600835740566254,0.14600835740566254,0.0,0.0,nan,nan,16.078157424926758,16.078157424926758,32.156314849853516,0.0,-2.881190776824951,0.4124186038970947,0.0,0.0,0.0,0.4124186038970947,0.0,-2.881190776824951,0.0,0.0,0.0,0.9545885920524597,-0.01738244667649269,-2.7495105266571045,0.0,0.0,0.0,0.0,-2.881190776824951,0.4124186038970947,0.0,0.0,0.0,0.4124186038970947,0.0,-2.881190776824951,-0.0,-0.0,-0.0,0.9545885324478149,0.017383085563778877,-2.7495105266571045,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-3.725290298461914e-08,0.05600005388259888,0.5999999642372131,-5.21540641784668e-08,-0.055999964475631714,0.6000000238418579,1.9091770648956299,6.388872861862183e-07,-5.499021053314209,0.0,0.0,0.0,-2.5331974029541016e-07,-6.304904900389374e-07,-9.313225746154785e-08,30.492530822753906,30.492528915405273,51.93805694580078,51.93804931640625,0.17686083912849426,0.17686083912849426,0.37180447578430176,0.37180447578430176,0.45133471488952637,0.45133471488952637,0.0920536071062088,0.0920536071062088,-3.140188217163086,-3.140188217163086,-0.020587120205163956,-0.020587120205163956,0.8557175397872925,0.8557175397872925,0.0,0.0,-0.0831531509757042,-0.0831531509757042,0.4124186038970947,0.4124186038970947,0.5844016075134277,0.5844016075134277,-0.3461451530456543,-0.3461451530456543,-0.1311296671628952,-0.1311296671628952,-78.43985748291016,-78.43985748291016,-50.1578483581543,-50.1578483581543,-39.106407165527344,-39.106407165527344,19.365663528442383,19.365663528442383,0.0,0.0,180.0
3,0.0125,0.13805837974188312,10.78088978710196,-63.005772828310626,0.13805837974188312,10.78088978710196,-63.005772828310626,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,10.780885696411133,10.780887603759766,10.780889511108398,10.780889511108398,0.16569437086582184,0.16660304367542267,3.649547576904297,3.9656827449798584,0.1430949717760086,0.1430949717760086,0.0,0.0,nan,nan,15.031991958618164,15.031991958618164,30.063983917236328,0.0,-2.739657402038574,0.43543586134910583,0.0,0.0,0.0,0.43543586134910583,0.0,-2.739657402038574,0.0,0.0,0.0,0.9494955539703369,-0.14086811244487762,-2.602679491043091,0.0,0.0,0.0,0.0,-2.739657402038574,0.43543586134910583,0.0,0.0,0.0,0.43543586134910583,0.0,-2.739657402038574,-0.0,-0.0,-0.0,0.9494956135749817,0.1408686339855194,-2.602679491043091,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-1.7136335372924805e-07,0.05600002408027649,0.5999999642372131,-7.450580596923828e-09,-0.0559999942779541,0.5999999642372131,1.8989911079406738,5.21540641784668e-07,-5.205358982086182,0.0,0.0,0.0,-7.450580596923828e-08,-8.888476372703735e-07,0.0,30.286863327026367,30.2868595123291,51.65850067138672,51.65850067138672,0.17686083912849426,0.17686083912849426,0.38596436381340027,0.38596436381340027,0.43717479705810547,0.43717479705810547,0.08162510395050049,0.08162510395050049,-3.1906232833862305,-3.1906232833862305,0.19375848770141602,0.19375848770141602,0.8427610397338867,0.8427610397338867,0.0,0.0,-0.08267037570476532,-0.08267037570476532,0.43543586134910583,0.43543586134910583,0.5844016075134277,0.5844016075134277,-0.35015246272087097,-0.35015246272087097,-0.12385044246912003,-0.12385044246912003,-76.93701934814453,-76.93701934814453,-49.340110778808594,-49.340110778808594,-38.263450622558594,-38.263450622558594,19.19873809814453,19.19873809814453,0.0,0.0,180.0
4,0.016666666666666666,0.18237289515877372,10.476031426209852,-83.22961071901595,0.18237289515877372,10.476031426209852,-83.22961071901595,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,10.476028442382812,10.476031303405762,10.476031303405762,10.476031303405762,0.2079227864742279,0.20886507630348206,3.064699172973633,3.39104962348938,0.13904857635498047,0.13904857635498047,0.0,0.0,nan,nan,13.688117980957031,13.688117980957031,27.376235961914062,0.0,-2.5519604682922363,0.4468439519405365,0.0,0.0,0.0,0.4468439519405365,0.0,-2.5519604682922363,0.0,0.0,0.0,0.9233406782150269,-0.2439904361963272,-2.4083361625671387,0.0,0.0,0.0,0.0,-2.5519604682922363,0.4468439519405365,0.0,0.0,0.0,0.4468439519405365,0.0,-2.5519604682922363,-0.0,-0.0,-0.0,0.9233406782150269,0.24399104714393616,-2.4083359241485596,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-9.685754776000977e-08,0.05600002408027649,0.5999999642372131,-6.705522537231445e-08,-0.055999934673309326,0.6000000238418579,1.8466813564300537,6.109476089477539e-07,-4.816672325134277,0.0,0.0,0.0,-2.384185791015625e-07,-7.368884666902886e-07,-7.450580596923828e-08,29.98790168762207,29.98790168762207,51.24617385864258,51.24617385864258,0.17686083912849426,0.17686083912849426,0.38596436381340027,0.38596436381340027,0.43717479705810547,0.43717479705810547,0.07163921743631363,0.07163921743631363,-3.192122459411621,-3.192122459411621,0.4077586233615875,0.4077586233615875,0.811721682548523,0.811721682548523,0.0,0.0,-0.0820220559835434,-0.0820220559835434,0.4468439519405365,0.4468439519405365,0.5844016075134277,0.5844016075134277,-0.35208606719970703,-0.35208606719970703,-0.11476922780275345,-0.11476922780275345,-74.8357162475586,-74.8357162475586,-48.17477798461914,-48.17477798461914,-37.07351303100586,-37.07351303100586,18.966896057128906,18.966896057128906,0.0,0.0,180.0
5,0.020833333333333332,0.22524340585010005,10.088225218975571,-102.79444744027388,0.22524340585010005,10.088225218975571,-102.79444744027388,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,10.088224411010742,10.088225364685059,10.088224411010742,10.088224411010742,0.24849076569080353,0.24945932626724243,2.4533135890960693,2.7872567176818848,0.1339012235403061,0.1339012235403061,0.0,0.0,nan,nan,12.100833892822266,12.100833892822266,24.20166778564453,0.0,-2.320570945739746,0.445437490940094,0.0,0.0,0.0,0.445437490940094,0.0,-2.320570945739746,0.0,0.0,0.0,0.8757917284965515,-0.3206613063812256,-2.1710894107818604,0.0,0.0,0.0,0.0,-2.320570945739746,0.445437490940094,0.0,0.0,0.0,0.445437490940094,0.0,-2.320570945739746,-0.0,-0.0,-0.0,0.8757917881011963,0.32066187262535095,-2.1710891723632812,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-1.1175870895385742e-07,0.0559999942779541,0.5999999642372131,-7.450580596923828e-09,-0.055999934673309326,0.6000000238418579,1.7515835762023926,5.662441253662109e-07,-4.3421783447265625,0.0,0.0,0.0,-1.564621925354004e-07,-5.698292397937621e-07,-1.862645149230957e-08,29.58782958984375,29.58782958984375,50.68278121948242,50.68278503417969,0.17686083912849426,0.17686083912849426,0.4142872393131256,0.4142872393131256,0.4088520109653473,0.4088520109653473,0.06213124841451645,0.06213124841451645,-3.1461241245269775,-3.1461241245269775,0.619981050491333,0.619981050491333,0.7642042636871338,0.7642042636871338,0.0,0.0,-0.0812341496348381,-0.0812341496348381,0.445437490940094,0.445437490940094,0.5844016075134277,0.5844016075134277,-0.3519224524497986,-0.3519224524497986,-0.10394968092441559,-0.10394968092441559,-72.14927673339844,-72.14927673339844,-46.66922378540039,-46.66922378540039,-35.544158935546875,-35.544158935546875,18.67197608947754,18.67197608947754,0.0,0.0,180.0
6,0.025,0.2663304687205943,9.620541764214591,-121.54537117442756,0.2663304687205943,9.620541764214591,-121.54537117442756,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,9.620538711547852,9.620539665222168,9.6205415725708,9.620540618896484,0.28707820177078247,0.28806546330451965,1.8204131126403809,2.1592612266540527,0.12769365310668945,0.12769365310668945,0.0,0.0,nan,nan,10.334741592407227,10.334741592407227,20.669483184814453,0.0,-2.0487990379333496,0.4307325482368469,0.0,0.0,0.0,0.4307325482368469,0.0,-2.0487990379333496,0.0,0.0,0.0,0.8074522614479065,-0.36621755361557007,-1.8965795040130615,0.0,0.0,0.0,0.0,-2.0487990379333496,0.4307325482368469,0.0,0.0,0.0,0.4307325482368469,0.0,-2.0487990379333496,-0.0,-0.0,-0.0,0.8074522018432617,0.3662179708480835,-1.896579384803772,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-1.2665987014770508e-07,0.0559999942779541,0.5999999642372131,-4.470348358154297e-08,-0.055999964475631714,0.6000000238418579,1.6149044036865234,4.172325134277344e-07,-3.793159008026123,0.0,0.0,0.0,-8.940696716308594e-08,-5.992220053485653e-07,3.725290298461914e-09,29.076839447021484,29.076839447021484,49.94362258911133,49.94362258911133,0.1915258765220642,0.1915258765220642,0.41377994418144226,0.41377994418144226,0.3946942090988159,0.3946942090988159,0.05313779413700104,0.05313779413700104,-3.0550074577331543,-3.0550074577331543,0.8289059400558472,0.8289059400558472,0.7025908827781677,0.7025908827781677,0.0,0.0,-0.08033791184425354,-0.08033791184425354,0.4307325482368469,0.4307325482368469,0.5844016075134277,0.5844016075134277,-0.34965094923973083,-0.34965094923973083,-0.09146563708782196,-0.09146563708782196,-68.89517974853516,-68.89517974853516,-44.833221435546875,-44.833221435546875,-33.685340881347656,-33.685340881347656,18.316307067871094,18.316307067871094,0.0,0.0,180.0
7,0.029166666666666667,0.3053087617815207,9.07668411833864,-139.33391456037467,0.3053087617815207,9.07668411833864,-139.33391456037467,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,9.076683044433594,9.076682090759277,9.07668399810791,9.07668399810791,0.32339465618133545,0.32439279556274414,1.1734404563903809,1.5145169496536255,0.12047501653432846,0.12047501653432846,0.0,0.0,nan,nan,8.558871269226074,8.558871269226074,17.11774253845215,0.0,-1.7612063884735107,0.42452341318130493,0.0,0.0,0.0,0.42452341318130493,0.0,-1.7612063884735107,0.0,0.0,0.0,0.7447737455368042,-0.38209813833236694,-1.6066677570343018,0.0,0.0,0.0,0.0,-1.7612063884735107,0.42452341318130493,0.0,0.0,0.0,0.42452341318130493,0.0,-1.7612063884735107,-0.0,-0.0,-0.0,0.7447737455368042,0.3820984661579132,-1.6066677570343018,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.5999999642372131,-4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,1.4895474910736084,3.2782554626464844e-07,-3.2133355140686035,0.0,0.0,0.0,-1.7136335372924805e-07,-4.992750746168895e-07,-4.0978193283081055e-08,28.443235397338867,28.443241119384766,48.996551513671875,48.996551513671875,0.1915258765220642,0.1915258765220642,0.44206899404525757,0.44206899404525757,0.366405189037323,0.366405189037323,0.036845918744802475,0.036845918744802475,-2.9219460487365723,-2.9219460487365723,1.0329251289367676,1.0329251289367676,0.629884660243988,0.629884660243988,0.0,0.0,-0.0793684720993042,-0.0793684720993042,0.42452341318130493,0.42452341318130493,0.5844016075134277,0.5844016075134277,-0.3452751040458679,-0.3452751040458679,-0.07740134000778198,-0.07740134000778198,-65.0951156616211,-65.0951156616211,-42.67893600463867,-42.67893600463867,-31.509410858154297,-31.509410858154297,17.9027099609375,17.9027099609375,0.0,0.0,180.0
8,0.03333333333333333,0.3418696600076232,8.460958475039472,-156.01923023870987,0.3418696600076232,8.460958475039472,-156.01923023870987,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,8.460955619812012,8.460957527160645,8.460958480834961,8.460958480834961,0.3571385145187378,0.3581397235393524,0.5152497291564941,0.8558156490325928,0.11230247467756271,0.11230247467756271,0.0,0.0,nan,nan,6.734393119812012,6.734393119812012,13.468786239624023,0.0,-1.4389923810958862,0.399350106716156,0.0,0.0,0.0,0.399350106716156,0.0,-1.4389923810958862,0.0,0.0,0.0,0.6576893329620361,-0.3633306920528412,-1.2905871868133545,0.0,0.0,0.0,0.0,-1.4389923810958862,0.399350106716156,0.0,0.0,0.0,0.399350106716156,0.0,-1.4389923810958862,-0.0,-0.0,-0.0,0.6576893925666809,0.3633309602737427,-1.290587067604065,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-1.1920928955078125e-07,0.05600002408027649,0.5999999642372131,-4.470348358154297e-08,-0.055999934673309326,0.6000000238418579,1.3153786659240723,2.682209014892578e-07,-2.581174373626709,0.0,0.0,0.0,-1.4156103134155273e-07,-4.045950277031807e-07,-2.9802322387695312e-08,27.673660278320312,27.673660278320312,47.800872802734375,47.80087661743164,0.1915258765220642,0.1915258765220642,0.47028660774230957,0.47028660774230957,0.3381875455379486,0.3381875455379486,0.023084618151187897,0.023084618151187897,-2.75071382522583,-2.75071382522583,1.2303524017333984,1.2303524017333984,0.54952073097229,0.54952073097229,0.0,0.0,-0.0783633440732956,-0.0783633440732956,0.399350106716156,0.399350106716156,0.5844016075134277,0.5844016075134277,-0.33881306648254395,-0.33881306648254395,-0.06185170263051987,-0.06185170263051987,-60.77513885498047,-60.77513885498047,-40.22108459472656,-40.22108459472656,-29.03125762939453,-29.03125762939453,17.434457778930664,17.434457778930664,0.0,0.0,180.0
9,0.0375,0.37572367898970044,7.77824006941055,-171.4692060626908,0.37572367898970044,7.77824006941055,-171.4692060626908,5.0,-5.0,0.0,0.0,11.0,0,0.5,0.0,0.0,3.4000000000000004,3.4000000000000004,3.4000000000000004,7.778237342834473,7.778237819671631,7.77824068069458,7.77824068069458,0.3880421221256256,0.389038622379303,-0.1490250825881958,0.1882954239845276,0.10324074327945709,0.10324074327945709,0.0,0.0,nan,nan,4.920031547546387,4.920031547546387,9.840063095092773,0.0,-1.0839104652404785,0.3552703261375427,0.0,0.0,0.0,0.3552703261375427,0.0,-1.0839104652404785,0.0,0.0,0.0,0.5469797253608704,-0.30901792645454407,-0.9520503878593445,0.0,0.0,0.0,0.0,-1.0839104652404785,0.3552703261375427,0.0,0.0,0.0,0.3552703261375427,0.0,-1.0839104652404785,-0.0,-0.0,-0.0,0.5469797253608704,0.3090181350708008,-0.9520503282546997,0.0,0.0,0.0,5.960464477539063e-08,-5.820766091346741e-11,0.6000000238418579,-2.3096799850463867e-07,0.05600002408027649,0.5999999046325684,-2.9802322387695312e-08,-0.055999964475631714,0.6000000238418579,1.0939594507217407,2.086162567138672e-07,-1.9041006565093994,0.0,0.0,0.0,-9.685754776000977e-08,-4.2696478885773104e-07,2.9802322387695312e-08,26.753297805786133,26.753297805786133,46.306060791015625,46.306060791015625,0.20615608990192413,0.20615608990192413,0.49771928787231445,0.49771928787231445,0.296124666929245,0.296124666929245,0.012195754796266556,0.012195754796266556,-2.5454607009887695,-2.5454607009887695,1.4194415807724,1.4194415807724,0.4651639759540558,0.4651639759540558,0.0,0.0,-0.07736091315746307,-0.07736091315746307,0.3552703261375427,0.3552703261375427,0.5844016075134277,0.5844016075134277,-0.3302989602088928,-0.3302989602088928,-0.04492286592721939,-0.04492286592721939,-55.96571731567383,-55.96571731567383,-37.476924896240234,-37.476924896240234,-26.268299102783203,-26.268299102783203,16.915258407592773,16.915258407592773,0.0,0.0,180.0
